GENERATION_PROJECT,gen_dbid,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_min_load_fraction,gen_is_pumped_hydro,gen_storage_energy_to_power_ratio,gen_can_suspend,gen_ccs_capture_efficiency,gen_ccs_energy_load
Anhui-Coal_600_OT-12109,new.12109,Coal_600_OT,Coal,Anhui,40.0,False,True,False,False,False,8.45,6.61461908030199,396.8771448181194,0.34,0.05,.,.,False,.,0.4,False,.,1.0,.,.
Anhui-Coal_600_RC-12117,new.12117,Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,8.45,6.61461908030199,396.8771448181194,0.34,0.05,.,.,False,.,0.4,False,.,1.0,.,.
Anhui-Coal_600_RC-12127,new.12127,Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,8.45,6.61461908030199,396.8771448181194,0.34,0.05,.,.,False,.,0.4,False,.,1.0,.,.
Anhui-Coal_IGCC_RC-12121,new.12121,Coal_IGCC_RC,Coal,Anhui,40.0,False,True,False,False,False,8.89,6.61461908030199,396.8771448181194,0.52,0.05,.,.,False,.,0.4,False,.,1.0,.,.
Anhui-Coal_IGCC_RC-12131,new.12131,Coal_IGCC_RC,Coal,Anhui,40.0,False,True,False,False,False,8.89,6.61461908030199,396.8771448181194,0.52,0.05,.,.,False,.,0.4,False,.,1.0,.,.
Anhui-Coal_Small_RC-ep-1157,existing.1157,Coal_Small_RC,Coal,Anhui,30.0,False,True,False,False,False,9.68,3.9687714481811938,0.0,0.52,0.05,974.6,.,False,.,0.4,False,.,1.0,.,.
Anhui-Coal_Small_RC-ep-1199,existing.1199,Coal_Small_RC,Coal,Anhui,30.0,False,True,False,False,False,9.68,3.9687714481811938,0.0,0.52,0.05,517.35,.,False,.,0.4,False,.,1.0,.,.
Anhui-Coal_Small_RC-ep-1232,existing.1232,Coal_Small_RC,Coal,Anhui,30.0,False,True,False,False,False,9.68,3.9687714481811938,0.0,0.52,0.05,170.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-Coal_Small_RC-ep-1242,existing.1242,Coal_Small_RC,Coal,Anhui,30.0,False,True,False,False,False,9.68,3.9687714481811938,0.0,0.52,0.05,30.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-Commercial_PV-2,new.2,Commercial_PV,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,0.0,0.0,0.02,1133.333333,.,False,.,0.0,False,.,1.0,.,.
Anhui-Commercial_PV-3,new.3,Commercial_PV,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,0.0,0.0,0.02,1133.333333,.,False,.,0.0,False,.,1.0,.,.
Anhui-Commercial_PV-4,new.4,Commercial_PV,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,0.0,0.0,0.02,1133.333333,.,False,.,0.0,False,.,1.0,.,.
Anhui-EP_Coal_1000_OT-ep-3093,existing.3093,EP_Coal_1000_OT,Coal,Anhui,40.0,False,True,False,False,False,7.66,3.9687714481811938,0.0,0.32,0.05,1000.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_1000_RC-ep-1152,existing.1152,EP_Coal_1000_RC,Coal,Anhui,40.0,False,True,False,False,False,7.66,3.9687714481811938,0.0,0.32,0.05,1050.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_1000_RC-ep-1153,existing.1153,EP_Coal_1000_RC,Coal,Anhui,40.0,False,True,False,False,False,7.66,3.9687714481811938,0.0,0.32,0.05,1000.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_1000_RC-ep-1154,existing.1154,EP_Coal_1000_RC,Coal,Anhui,40.0,False,True,False,False,False,7.66,3.9687714481811938,0.0,0.32,0.05,1000.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_1000_RC-ep-1155,existing.1155,EP_Coal_1000_RC,Coal,Anhui,40.0,False,True,False,False,False,7.66,3.9687714481811938,0.0,0.32,0.05,1000.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_1000_RC-ep-1156,existing.1156,EP_Coal_1000_RC,Coal,Anhui,40.0,False,True,False,False,False,7.66,3.9687714481811938,0.0,0.32,0.05,1000.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_1000_RC-ep-3094,existing.3094,EP_Coal_1000_RC,Coal,Anhui,40.0,False,True,False,False,False,7.66,3.9687714481811938,0.0,0.32,0.05,1000.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_1000_RC-ep-3095,existing.3095,EP_Coal_1000_RC,Coal,Anhui,40.0,False,True,False,False,False,7.66,3.9687714481811938,0.0,0.32,0.05,1000.0,.,False,.,0.4,False,.,1.0,.,.
