GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Jiangsu-Commercial_PV-78,2040.06.26.00,0.0
Jiangsu-Offshore_Wind-13135,2040.06.26.00,0.0940515
Jiangsu-Residential_PV-274,2040.06.26.00,0.0
Jiangsu-Residential_PV-275,2040.06.26.00,0.0
Jiangsu-Residential_PV-276,2040.06.26.00,0.0
Jiangsu-Residential_PV-277,2040.06.26.00,0.0
Jiangsu-Residential_PV-278,2040.06.26.00,0.0
Jiangsu-Residential_PV-357,2040.06.26.00,0.0
Jiangsu-Residential_PV-370,2040.06.26.00,0.0
Jiangsu-Wind-1078,2040.06.26.00,0.0553373
Jiangsu-Wind-1079,2040.06.26.00,0.0553373
Jiangsu-Wind-1080,2040.06.26.00,0.0553373
Jiangsu-Wind-1084,2040.06.26.00,0.0553373
Jiangsu-Wind-1085,2040.06.26.00,0.0553373
Jiangsu-Wind-1088,2040.06.26.00,0.0553373
Jiangsu-Wind-1089,2040.06.26.00,0.0553373
Jiangsu-Wind-1092,2040.06.26.00,0.0553373
Jiangsu-Wind-1093,2040.06.26.00,0.0553373
Jiangsu-Wind-1094,2040.06.26.00,0.0553373
Jiangsu-Wind-1096,2040.06.26.00,0.0553373
Jiangsu-Wind-1159,2040.06.26.00,0.0553373
Jiangsu-Wind_EP-ep-40015,2040.06.26.00,0.0553373
Jiangsu-Wind_EP-ep-40031,2040.06.26.00,0.0553373
Jiangsu-Wind_EP-ep-40053,2040.06.26.00,0.0553373
Jiangsu-Wind_EP-ep-40089,2040.06.26.00,0.0553373
Jiangsu-Wind_EP-ep-40116,2040.06.26.00,0.0553373
Jiangsu-Wind_EP-ep-40143,2040.06.26.00,0.0553373
Jiangsu-Wind_EP-ep-40172,2040.06.26.00,0.0553373
Jiangsu-Wind_EP-ep-40200,2040.06.26.00,0.0553373
Jiangsu-Wind_EP-ep-40227,2040.06.26.00,0.0553373
Jiangsu-Wind_EP-ep-40249,2040.06.26.00,0.0553373
Jiangsu-Wind_EP-ep-40270,2040.06.26.00,0.0553373
Shanghai-Central_PV-509,2040.06.26.00,0.0
Shanghai-Central_PV_EP-ep-50003,2040.06.26.00,0.0
Shanghai-Central_PV_EP-ep-50005,2040.06.26.00,0.0
Shanghai-Central_PV_EP-ep-50044,2040.06.26.00,0.0
Shanghai-Central_PV_EP-ep-50074,2040.06.26.00,0.0
Shanghai-Central_PV_EP-ep-50103,2040.06.26.00,0.0
Shanghai-Central_PV_EP-ep-50164,2040.06.26.00,0.0
Shanghai-Commercial_PV-109,2040.06.26.00,0.0
Shanghai-Offshore_Wind-13152,2040.06.26.00,0.119961
Shanghai-Residential_PV-309,2040.06.26.00,0.0
Shanghai-Wind-1068,2040.06.26.00,0.0
Shanghai-Wind-1069,2040.06.26.00,0.0
Shanghai-Wind-1072,2040.06.26.00,0.0
Shanghai-Wind_EP-ep-40003,2040.06.26.00,0.0
Shanghai-Wind_EP-ep-40020,2040.06.26.00,0.0
Shanghai-Wind_EP-ep-40037,2040.06.26.00,0.0
Shanghai-Wind_EP-ep-40070,2040.06.26.00,0.0
Shanghai-Wind_EP-ep-40096,2040.06.26.00,0.0
Shanghai-Wind_EP-ep-40124,2040.06.26.00,0.0
Shanghai-Wind_EP-ep-40151,2040.06.26.00,0.0
Shanghai-Wind_EP-ep-40179,2040.06.26.00,0.0
Shanghai-Wind_EP-ep-40255,2040.06.26.00,0.0
Zhejiang-Central_PV-547,2040.06.26.00,0.0
Zhejiang-Central_PV-548,2040.06.26.00,0.0
Zhejiang-Central_PV-549,2040.06.26.00,0.0
