load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge,RunElectrolyzerMW,LiquefyHydrogenMW
Shanghai,2050-06-12_00:00,1900,33836.6,35736.6,0,0,0
Shanghai,2050-06-12_04:00,1900,29216.8,31116.8,0,0,0
Shanghai,2050-06-12_08:00,4395.84,34572.2,38968,0,0,0
Shanghai,2050-06-12_12:00,5293.74,42630.5,47924.2,0,0,0
Shanghai,2050-06-12_16:00,3145.55,44183.3,47328.9,0,0,0
Shanghai,2050-06-12_20:00,3154,40608.4,43762.4,0,0,0
Shanghai,2050-12-12_00:00,17657.4,22879.3,40536.7,0,0,0
Shanghai,2050-12-12_04:00,1900,33396.5,35296.5,0,0,0
Shanghai,2050-12-12_08:00,1711.69,42490.5,44202.2,0,0,0
Shanghai,2050-12-12_12:00,3346.19,51015.2,54361.4,0,0,0
Shanghai,2050-12-12_16:00,4955.55,48730.6,53686.1,0,0,0
Shanghai,2050-12-12_20:00,49640.5,0,49640.5,0,0,0
Zhejiang,2040-06-26_00:00,42051,35376,77427,0,0,0
Zhejiang,2040-06-26_04:00,36855.3,34634.3,67563.8,3925.89,0,0
Zhejiang,2040-06-26_08:00,98716.1,-9517.61,85272.6,3925.89,0,0
Zhejiang,2040-06-26_12:00,94713.1,1588.14,92375.3,3925.89,0,0
Zhejiang,2040-06-26_16:00,77803.9,22773.8,99622.7,954.946,0,0
Zhejiang,2040-06-26_20:00,62565.2,25901.7,88466.9,0,0,0
Zhejiang,2040-12-19_00:00,47701.9,38737,85521.4,917.384,0,0
Zhejiang,2040-12-19_04:00,32240.9,43303.5,74627.1,917.384,0,0
Zhejiang,2040-12-19_08:00,64045.7,31464.8,94187.2,1323.36,0,0
Zhejiang,2040-12-19_12:00,80725.3,23182.3,102033,1875.08,0,0
Zhejiang,2040-12-19_16:00,69269.3,40768.3,110038,0,0,0
Zhejiang,2040-12-19_20:00,68325,30308,97715.5,917.384,0,0
Zhejiang,2050-06-12_00:00,36418.6,55225,91643.5,0,0,0
Zhejiang,2050-06-12_04:00,27920.3,52049,79969.3,0,0,0
Zhejiang,2050-06-12_08:00,38812.3,73976.7,100930,11859.3,0,0
Zhejiang,2050-06-12_12:00,62495.1,58722.6,109337,11881.1,0,0
Zhejiang,2050-06-12_16:00,48110.1,71907.3,117915,2102.72,0,0
Zhejiang,2050-06-12_20:00,45794.1,58916.4,104711,0,0,0
Zhejiang,2050-12-12_00:00,35355,66786.7,101224,917.384,0,0
Zhejiang,2050-12-12_04:00,30426.7,58820.3,88329.6,917.384,0,0
Zhejiang,2050-12-12_08:00,48348.8,65548,111481,2415.62,0,0
Zhejiang,2050-12-12_12:00,69826,58154,120767,7213.03,0,0
Zhejiang,2050-12-12_16:00,44444.7,85797.2,130242,0,0,0
Zhejiang,2050-12-12_20:00,50817,65757.7,115657,917.384,0,0
