gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Coal_600_RC,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,Solar,2038,5430.570685237518,0.0,0.0,3257.142857,219813222.42854455,42597118.786026254,48.320951226711394,0.19032882118846586,0.0,0.0
Commercial_PV,Solar,2048,6075.833853023207,0.0,0.0,3257.142857,219813222.42854455,42597118.786026254,43.18918975771548,0.2129437884173868,0.0,0.0
EP_Coal_1000_OT,Coal,2038,102875.14988686054,408287957.5983329,75272018.86969775,21860.0,850837744.9365898,309029658.8194921,15.24328628516247,0.5372250032735326,0.0,0.0
EP_Coal_1000_OT,Coal,2048,78541.81603490979,311714516.9676499,57467727.290234104,16060.0,625089395.4108707,227036428.2086479,14.818098171678022,0.5582789996624374,0.0,0.0
EP_Coal_1000_RC,Coal,2038,113108.7485379973,448902771.7371101,82759771.07827717,18080.0,703712096.4525867,255592691.2834592,12.45003218296672,0.7141569466627097,0.0,0.0
EP_Coal_1000_RC,Coal,2048,103967.12599999999,412621761.2182567,76070999.44648318,18080.0,703712096.4525867,255592691.2834592,13.1957725652078,0.6564376868913403,0.0,0.0
EP_Coal_1000_SEA,Coal,2038,136028.59999999998,539866423.8160603,99529841.33951998,24000.0,934131101.4857345,339282333.56211394,13.330136889329959,0.6470157914764079,0.0,0.0
EP_Coal_1000_SEA,Coal,2048,92973.3181048315,368989850.3371229,68027014.90556103,19000.0,739520455.3428731,268598514.07000685,14.81187127469466,0.5585996040905522,0.0,0.0
EP_Coal_300_OT,Coal,2038,13476.016,53483227.536032945,10980063.782169601,6340.0,282410386.9530666,101369354.90734385,32.44749556519103,0.2426432162251703,0.0,0.0
EP_Coal_300_RC,Coal,2038,24312.399999999998,96490358.95676045,19809393.421439998,12150.0,621391939.7468895,194264615.47700754,37.51776518075786,0.22842700640772684,0.0,0.0
EP_Coal_300_SEA,Coal,2038,0.0,0.0,0.0,1280.0,110469678.17722479,20465737.268359642,0.0,0.0,0.0,0.0
EP_Coal_300_SEA,Coal,2048,0.0,0.0,0.0,350.0,15590478.775011564,5596100.03431709,0.0,0.0,0.0,0.0
EP_Coal_600_OT,Coal,2038,86816.72661787059,344555745.82555705,65761378.45145426,26940.0,922397046.9136397,335011935.4838709,18.452259036144252,0.3678762149350603,0.0,0.0
EP_Coal_600_OT,Coal,2048,41291.71199999999,163877367.6321208,31277381.738803197,10560.0,361563207.6988877,131318709.67741933,15.905353718645232,0.4463698630136986,0.0,0.0
EP_Coal_600_RC,Coal,2038,194536.4271798077,772070617.8224008,147356207.82702678,29820.0,1142036072.0829842,414772970.2814001,11.971432260520693,0.7447134373202983,0.0,0.0
EP_Coal_600_RC,Coal,2048,79256.90399999998,314552537.66643786,60035012.39773439,13710.0,525060850.04217684,190695419.93822923,12.999609568989019,0.6599264610373389,0.0,0.0
EP_Coal_600_SEA,Coal,2038,99368.46107818987,394370711.1768242,75268985.93935636,30264.268552948015,1083320065.491743,376350823.4568212,18.658250112845188,0.3748126808379579,0.0,0.0
EP_Coal_600_SEA,Coal,2048,37119.30321862078,147318030.79044244,28116892.238500264,12440.0,425932415.13012904,154697419.3548387,19.61103259368935,0.34062406600651873,0.0,0.0
Fuel_Cell,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel_Cell,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_OT,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_OT,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_RC,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_RC,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_SEA,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_SEA,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_Combustion_Turbine_RC,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_Combustion_Turbine_RC,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_NonPumped,Water,2038,63613.38947812403,0.0,0.0,21599.830818626506,2003755977.069037,94297271.02236,32.981315180712,0.3361971912103341,0.0,0.0
Hydro_NonPumped,Water,2048,63613.38947812403,0.0,0.0,26640.998165246416,2003755977.069037,116305236.1562053,33.32727953372629,0.27257996891849845,0.0,0.0
