TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Jiangsu,Shanghai,2050.12.12.00,23270.6813086965
Jiangsu,Shanghai,2050.12.12.04,33967.74117504591
Jiangsu,Shanghai,2050.12.12.08,43217.32499473933
Jiangsu,Shanghai,2050.12.12.12,43568.90296025939
Jiangsu,Shanghai,2050.12.12.16,43568.90296025939
Jiangsu,Shanghai,2050.12.12.20,0.0
Shanghai,Jiangsu,2040.06.26.00,0.0
Shanghai,Jiangsu,2040.06.26.04,0.0
Shanghai,Jiangsu,2040.06.26.08,0.0
Shanghai,Jiangsu,2040.06.26.12,0.0
Shanghai,Jiangsu,2040.06.26.16,0.0
Shanghai,Jiangsu,2040.06.26.20,0.0
Shanghai,Jiangsu,2040.12.19.00,0.0
Shanghai,Jiangsu,2040.12.19.04,0.0
Shanghai,Jiangsu,2040.12.19.08,0.0
Shanghai,Jiangsu,2040.12.19.12,0.0
Shanghai,Jiangsu,2040.12.19.16,0.0
Shanghai,Jiangsu,2040.12.19.20,0.0
Shanghai,Jiangsu,2050.06.12.00,0.0
Shanghai,Jiangsu,2050.06.12.04,0.0
Shanghai,Jiangsu,2050.06.12.08,0.0
Shanghai,Jiangsu,2050.06.12.12,0.0
Shanghai,Jiangsu,2050.06.12.16,0.0
Shanghai,Jiangsu,2050.06.12.20,0.0
Shanghai,Jiangsu,2050.12.12.00,0.0
Shanghai,Jiangsu,2050.12.12.04,0.0
Shanghai,Jiangsu,2050.12.12.08,0.0
Shanghai,Jiangsu,2050.12.12.12,0.0
Shanghai,Jiangsu,2050.12.12.16,0.0
Shanghai,Jiangsu,2050.12.12.20,0.0
Jiangsu,Zhejiang,2040.06.26.00,10030.86046010769
Jiangsu,Zhejiang,2040.06.26.04,10030.86046010769
Jiangsu,Zhejiang,2040.06.26.08,0.0
Jiangsu,Zhejiang,2040.06.26.12,0.0
Jiangsu,Zhejiang,2040.06.26.16,0.0
Jiangsu,Zhejiang,2040.06.26.20,10030.86046010769
Jiangsu,Zhejiang,2040.12.19.00,10030.86046010769
Jiangsu,Zhejiang,2040.12.19.04,10030.86046010769
Jiangsu,Zhejiang,2040.12.19.08,0.0
Jiangsu,Zhejiang,2040.12.19.12,0.0
Jiangsu,Zhejiang,2040.12.19.16,10030.86046010769
Jiangsu,Zhejiang,2040.12.19.20,10030.86046010769
Jiangsu,Zhejiang,2050.06.12.00,0.0
Jiangsu,Zhejiang,2050.06.12.04,0.0
Jiangsu,Zhejiang,2050.06.12.08,10030.86046010769
Jiangsu,Zhejiang,2050.06.12.12,0.0
Jiangsu,Zhejiang,2050.06.12.16,10030.86046010769
Jiangsu,Zhejiang,2050.06.12.20,2474.843859756066
