STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Anhui-Hydro_Pumped-ep-35039,2050.12.12.00,0.0
Anhui-Hydro_Pumped-ep-35039,2050.12.12.04,305.6858300803528
Anhui-Hydro_Pumped-ep-35039,2050.12.12.08,611.3716601607057
Anhui-Hydro_Pumped-ep-35039,2050.12.12.12,917.0574902410585
Anhui-Hydro_Pumped-ep-35039,2050.12.12.16,719.2607766596536
Anhui-Hydro_Pumped-ep-35039,2050.12.12.20,359.6303883298268
Anhui-Hydro_Pumped-ep-35040,2040.06.26.00,0.0
Anhui-Hydro_Pumped-ep-35040,2040.06.26.04,875.482543347309
Anhui-Hydro_Pumped-ep-35040,2040.06.26.08,1750.965086694618
Anhui-Hydro_Pumped-ep-35040,2040.06.26.12,2626.447630041927
Anhui-Hydro_Pumped-ep-35040,2040.06.26.16,1596.468167280387
Anhui-Hydro_Pumped-ep-35040,2040.06.26.20,1029.97946276154
Anhui-Hydro_Pumped-ep-35040,2040.12.19.00,0.0
Anhui-Hydro_Pumped-ep-35040,2040.12.19.04,203.7905533869018
Anhui-Hydro_Pumped-ep-35040,2040.12.19.08,407.5811067738035
Anhui-Hydro_Pumped-ep-35040,2040.12.19.12,611.3716601607052
Anhui-Hydro_Pumped-ep-35040,2040.12.19.16,371.6180679408208
Anhui-Hydro_Pumped-ep-35040,2040.12.19.20,131.8644757209364
Anhui-Hydro_Pumped-ep-35040,2050.06.12.00,1029.97946276154
Anhui-Hydro_Pumped-ep-35040,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35040,2050.06.12.08,1548.768
Anhui-Hydro_Pumped-ep-35040,2050.06.12.12,3097.536
Anhui-Hydro_Pumped-ep-35040,2050.06.12.16,3089.93838828462
Anhui-Hydro_Pumped-ep-35040,2050.06.12.20,2059.95892552308
Anhui-Hydro_Pumped-ep-35040,2050.12.12.00,0.0
Anhui-Hydro_Pumped-ep-35040,2050.12.12.04,203.7905533869018
Anhui-Hydro_Pumped-ep-35040,2050.12.12.08,407.5811067738035
Anhui-Hydro_Pumped-ep-35040,2050.12.12.12,611.3716601607052
Anhui-Hydro_Pumped-ep-35040,2050.12.12.16,479.5071844397688
Anhui-Hydro_Pumped-ep-35040,2050.12.12.20,239.7535922198844
Fujian-Battery_Storage-11178,2040.06.26.00,0.0
Fujian-Battery_Storage-11178,2040.06.26.04,0.0
Fujian-Battery_Storage-11178,2040.06.26.08,-0.0
Fujian-Battery_Storage-11178,2040.06.26.12,-0.0
Fujian-Battery_Storage-11178,2040.06.26.16,-0.0
Fujian-Battery_Storage-11178,2040.06.26.20,0.0
Fujian-Battery_Storage-11178,2040.12.19.00,0.0
Fujian-Battery_Storage-11178,2040.12.19.04,0.0
Fujian-Battery_Storage-11178,2040.12.19.08,-0.0
Fujian-Battery_Storage-11178,2040.12.19.12,-0.0
Fujian-Battery_Storage-11178,2040.12.19.16,-0.0
Fujian-Battery_Storage-11178,2040.12.19.20,-0.0
