PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2038,195983546373.07285,2727164140.5746994,71.86349492398831
2048,226161542051.15564,3227905463.610264,70.06448751389527
