load_zone,technology,period,capacity
Fujian,Battery_Storage_MWh,2038,-0.0
Fujian,Battery_Storage_MWh,2048,57879.86083383059
Fujian,Central_PV,2038,83391.13162256255
Fujian,Central_PV,2048,116046.96350703761
Fujian,Central_PV_EP,2038,928.0
Fujian,Central_PV_EP,2048,0
Fujian,Coal_1000_OT,2038,0.0
Fujian,Coal_1000_OT,2048,3057.354636722886
Fujian,Coal_1000_OT_CCS,2038,0.0
Fujian,Coal_1000_OT_CCS,2048,0.0
Fujian,Coal_1000_OT_H2,2038,0.0
Fujian,Coal_1000_OT_H2,2048,0.0
Fujian,Coal_1000_RC,2038,0.0
Fujian,Coal_1000_RC,2048,0.0
Fujian,Coal_1000_RC_CCS,2038,0.0
Fujian,Coal_1000_RC_CCS,2048,0.0
Fujian,Coal_1000_RC_H2,2038,0.0
Fujian,Coal_1000_RC_H2,2048,0.0
Fujian,Coal_1000_SEA,2038,0.0
Fujian,Coal_1000_SEA,2048,0.0
Fujian,Coal_1000_SEA_CCS,2038,0.0
Fujian,Coal_1000_SEA_CCS,2048,0.0
Fujian,Coal_1000_SEA_H2,2038,0.0
Fujian,Coal_1000_SEA_H2,2048,0.0
Fujian,Coal_100_OT,2038,0.0
Fujian,Coal_100_OT,2048,0.0
Fujian,Coal_100_OT_CCS,2038,0.0
Fujian,Coal_100_OT_CCS,2048,0.0
Fujian,Coal_100_OT_H2,2038,0.0
Fujian,Coal_100_OT_H2,2048,0.0
Fujian,Coal_100_RC,2038,0
Fujian,Coal_100_RC,2048,0
Fujian,Coal_100_RC_CCS,2038,0
Fujian,Coal_100_RC_CCS,2048,0
Fujian,Coal_100_RC_H2,2038,0
Fujian,Coal_100_RC_H2,2048,0
Fujian,Coal_100_SEA,2038,0.0
Fujian,Coal_100_SEA,2048,0.0
Fujian,Coal_100_SEA_CCS,2038,0.0
Fujian,Coal_100_SEA_CCS,2048,0.0
Fujian,Coal_100_SEA_H2,2038,0.0
Fujian,Coal_100_SEA_H2,2048,0.0
Fujian,Coal_300_OT,2038,0.0
Fujian,Coal_300_OT,2048,0.0
Fujian,Coal_300_OT_CCS,2038,0.0
Fujian,Coal_300_OT_CCS,2048,0.0
Fujian,Coal_300_OT_H2,2038,0.0
Fujian,Coal_300_OT_H2,2048,0.0
Fujian,Coal_300_RC,2038,0.0
Fujian,Coal_300_RC,2048,0.0
Fujian,Coal_300_RC_CCS,2038,0.0
Fujian,Coal_300_RC_CCS,2048,0.0
Fujian,Coal_300_RC_H2,2038,0.0
Fujian,Coal_300_RC_H2,2048,0.0
Fujian,Coal_300_SEA,2038,0.0
Fujian,Coal_300_SEA,2048,0.0
Fujian,Coal_300_SEA_CCS,2038,0.0
Fujian,Coal_300_SEA_CCS,2048,0.0
Fujian,Coal_300_SEA_H2,2038,0.0
Fujian,Coal_300_SEA_H2,2048,0.0
Fujian,Coal_600_OT,2038,0.0
Fujian,Coal_600_OT,2048,0.0
Fujian,Coal_600_OT_CCS,2038,0.0
Fujian,Coal_600_OT_CCS,2048,0.0
Fujian,Coal_600_OT_H2,2038,0.0
Fujian,Coal_600_OT_H2,2048,0.0
Fujian,Coal_600_RC,2038,0.0
Fujian,Coal_600_RC,2048,0.0
Fujian,Coal_600_RC_CCS,2038,0.0
Fujian,Coal_600_RC_CCS,2048,0.0
Fujian,Coal_600_RC_H2,2038,0.0
Fujian,Coal_600_RC_H2,2048,0.0
Fujian,Coal_600_SEA,2038,0.0
Fujian,Coal_600_SEA,2048,0.0
Fujian,Coal_600_SEA_CCS,2038,0.0
Fujian,Coal_600_SEA_CCS,2048,0.0
Fujian,Coal_600_SEA_H2,2038,0.0
Fujian,Coal_600_SEA_H2,2048,0.0
Fujian,Coal_IGCC_RC,2038,0.0
Fujian,Coal_IGCC_RC,2048,0.0
Fujian,Coal_IGCC_RC_CCS,2038,0.0
Fujian,Coal_IGCC_RC_CCS,2048,0.0
Fujian,Coal_IGCC_RC_H2,2038,0.0
Fujian,Coal_IGCC_RC_H2,2048,0.0
Fujian,Coal_Small_OT,2038,0.0
Fujian,Coal_Small_OT,2048,0.0
Fujian,Coal_Small_OT_CCS,2038,0.0
Fujian,Coal_Small_OT_CCS,2048,0.0
Fujian,Coal_Small_OT_H2,2038,0.0
Fujian,Coal_Small_OT_H2,2048,0.0
Fujian,Coal_Small_RC,2038,0
Fujian,Coal_Small_RC,2048,0
Fujian,Coal_Small_RC_CCS,2038,0
Fujian,Coal_Small_RC_CCS,2048,0
Fujian,Coal_Small_RC_H2,2038,0
Fujian,Coal_Small_RC_H2,2048,0
Fujian,Coal_Small_SEA,2038,0
Fujian,Coal_Small_SEA,2048,0
Fujian,Coal_Small_SEA_CCS,2038,0
Fujian,Coal_Small_SEA_CCS,2048,0
Fujian,Coal_Small_SEA_H2,2038,0
Fujian,Coal_Small_SEA_H2,2048,0
Fujian,Commercial_PV,2038,0.0
Fujian,Commercial_PV,2048,0.0
Fujian,EP_Coal_1000_OT,2038,0.0
Fujian,EP_Coal_1000_OT,2048,0.0
Fujian,EP_Coal_1000_OT_CCS,2038,0.0
Fujian,EP_Coal_1000_OT_CCS,2048,0.0
Fujian,EP_Coal_1000_OT_H2,2038,0.0
Fujian,EP_Coal_1000_OT_H2,2048,0.0
Fujian,EP_Coal_1000_RC,2038,0.0
Fujian,EP_Coal_1000_RC,2048,0.0
Fujian,EP_Coal_1000_RC_CCS,2038,0.0
Fujian,EP_Coal_1000_RC_CCS,2048,0.0
Fujian,EP_Coal_1000_RC_H2,2038,0.0
Fujian,EP_Coal_1000_RC_H2,2048,0.0
Fujian,EP_Coal_1000_SEA,2038,4000.0
Fujian,EP_Coal_1000_SEA,2048,4000.0
Fujian,EP_Coal_1000_SEA_CCS,2038,0
Fujian,EP_Coal_1000_SEA_CCS,2048,0
Fujian,EP_Coal_1000_SEA_H2,2038,0
Fujian,EP_Coal_1000_SEA_H2,2048,0
Fujian,EP_Coal_300_OT,2038,0
Fujian,EP_Coal_300_OT,2048,0
Fujian,EP_Coal_300_OT_CCS,2038,0
Fujian,EP_Coal_300_OT_CCS,2048,0
Fujian,EP_Coal_300_OT_H2,2038,0
Fujian,EP_Coal_300_OT_H2,2048,0
Fujian,EP_Coal_300_RC,2038,0.0
Fujian,EP_Coal_300_RC,2048,0
Fujian,EP_Coal_300_RC_CCS,2038,0
Fujian,EP_Coal_300_RC_CCS,2048,0
Fujian,EP_Coal_300_RC_H2,2038,0
Fujian,EP_Coal_300_RC_H2,2048,0
Fujian,EP_Coal_300_SEA,2038,0.0
Fujian,EP_Coal_300_SEA,2048,0
Fujian,EP_Coal_300_SEA_CCS,2038,0
Fujian,EP_Coal_300_SEA_CCS,2048,0
Fujian,EP_Coal_300_SEA_H2,2038,0
Fujian,EP_Coal_300_SEA_H2,2048,0
Fujian,EP_Coal_600_OT,2038,1320.0
Fujian,EP_Coal_600_OT,2048,1320.0
Fujian,EP_Coal_600_OT_CCS,2038,0
Fujian,EP_Coal_600_OT_CCS,2048,0
Fujian,EP_Coal_600_OT_H2,2038,0
Fujian,EP_Coal_600_OT_H2,2048,0
Fujian,EP_Coal_600_RC,2038,0.0
Fujian,EP_Coal_600_RC,2048,0.0
Fujian,EP_Coal_600_RC_CCS,2038,0.0
Fujian,EP_Coal_600_RC_CCS,2048,0.0
Fujian,EP_Coal_600_RC_H2,2038,0.0
Fujian,EP_Coal_600_RC_H2,2048,0.0
Fujian,EP_Coal_600_SEA,2038,11484.268552948015
Fujian,EP_Coal_600_SEA,2048,3860.0
Fujian,EP_Coal_600_SEA_CCS,2038,0
Fujian,EP_Coal_600_SEA_CCS,2048,0
Fujian,EP_Coal_600_SEA_H2,2038,0
Fujian,EP_Coal_600_SEA_H2,2048,0
Fujian,EP_Gas_CCGT_OT,2038,0.0
Fujian,EP_Gas_CCGT_OT,2048,0.0
Fujian,EP_Gas_CCGT_RC,2038,0
Fujian,EP_Gas_CCGT_RC,2048,0
Fujian,EP_Gas_CCGT_SEA,2038,0
