load_zone,period,timepoint_label,Coal,Gas,Uranium,Hydrogen,Solar,Storage,Water,Wind,Battery_Storage,Central_PV,Central_PV_EP,Commercial_PV,Hydro_NonPumped,Hydro_Pumped,Offshore_Wind,Residential_PV,Wind,Wind_EP,curtail_Solar,curtail_Storage,curtail_Water,curtail_Wind,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge,RunElectrolyzerMW,LiquefyHydrogenMW,zone_demand_mw,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Anhui,2038,2040-06-26_00:00,186920.3060938326,0.0,2031.867904,0.0,0.0,-0.0,2688.958800269363,252.16834719999997,-0.0,0.0,0.0,0.0,1899.3078788188482,789.6509214505149,0,0.0,0.0,252.16834719999997,0.0,0.0,0.0,2.1316282072803006e-14,191893.3011453019,-156906.6868300609,34986.61431524107,0.0,0.0,0.0,33132.3237565333,0.0,-0.0,57.0813265941441,peak
Anhui,2038,2040-06-26_04:00,186920.3060938326,0.0,2031.867904,0.0,0.0,-0.0,1422.7535477234653,244.81166163999998,-0.0,0.0,0.0,0.0,633.1026262729503,789.6509214505149,0,0.0,0.0,244.81166163999998,0.0,0.0,1184.4763821757722,7.105427357601002e-15,190619.73920719596,-158641.2741485598,30004.33775500993,1974.1273036262874,0.0,-0.0,28414.1078539944,12479.058294201579,12479.05829420158,53.40086542801425,peak
Anhui,2038,2040-06-26_08:00,125361.49045280385,0.0,2031.867904,0.0,1210.2123536999995,0.0,1422.7535477234653,573.8342568,0.0,0.0,1210.2123536999995,0.0,633.1026262729503,789.6509214505149,0,0.0,0.0,573.8342568,0.0,0.0,1184.4763821757722,4.973799150320701e-14,130600.15851502729,-97055.19273953838,31570.83847186262,1974.1273036262874,0.0,-0.0,29897.5840328539,14604.81829420158,14604.81829420158,50.77378284144094,peak
Anhui,2038,2040-06-26_12:00,174336.3407247376,0.0,2031.867904,0.0,1929.1266949500002,-0.0,1422.7535477234653,814.53614536,-0.0,0.0,1929.1266949500002,0.0,633.1026262729503,789.6509214505149,0,0.0,0.0,814.53614536,-2.2737367544323206e-13,0.0,1184.4763821757722,-2.842170943040401e-14,180534.625016771,-141250.7147998085,37309.78291333622,1974.1273036262874,0.0,-0.0,35332.3644189294,13679.90036155647,13679.90036155647,50.77378284144094,peak
Anhui,2038,2040-06-26_16:00,186920.3060938326,0.0,2031.867904,0.0,1025.90925444,-0.0,2688.958800269363,904.8488881599999,-0.0,0.0,1025.90925444,0.0,1899.3078788188482,789.6509214505149,0,0.0,0.0,904.8488881599999,-1.1368683772161603e-13,0.0,0.0,-2.842170943040401e-14,193571.8909407019,-155477.1907497325,38094.70019096949,0.0,0.0,0.0,36075.6810808481,2451.721104146279,2451.721104146279,57.0813265941441,peak
Anhui,2038,2040-06-26_20:00,186920.3060938326,0.0,2031.867904,0.0,0.0,-0.0,2688.958800269363,967.6438346399999,-0.0,0.0,0.0,0.0,1899.3078788188482,789.6509214505149,0,0.0,0.0,967.6438346399999,0.0,0.0,0.0,-2.842170943040401e-14,192608.77663274194,-152170.941970701,39957.64153413189,480.1931279090971,0.0,0.0,37839.8865328229,480.19312790909703,480.1931279090971,57.0813265941441,peak
Anhui,2038,2040-12-19_00:00,186920.3060938326,0.0,2031.867904,0.0,0.0,-0.0,331.18162666633566,203.251181896,-0.0,0.0,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,0.0,203.251181896,0.0,0.0,0.0,1.4210854715202004e-14,189486.6068063949,-151554.7105967447,37820.11919706125,111.77701258900017,0.0,0.0,35815.652879617,2289.952768470499,2289.952768470499,57.73837929054126,typical
Anhui,2038,2040-12-19_04:00,186920.3060938326,0.0,2031.867904,0.0,0.0,-0.0,331.18162666633566,249.76299011999998,-0.0,0.0,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,0.0,249.76299011999998,0.0,0.0,275.71663105286706,1.4210854715202004e-14,189533.11861461893,-156639.2541496142,32434.33674658332,459.5277184214454,0.0,0.0,30715.3168990144,3193.9948075993334,3193.994807599334,57.081326594144116,typical
Anhui,2038,2040-12-19_08:00,186920.3060938326,0.0,2031.867904,0.0,2777.4760708800004,0.0,331.18162666633566,97.385643096,0.0,0.0,2777.4760708800004,0.0,147.37053929775746,183.81108736857817,0,0.0,0.0,97.385643096,-2.2737367544323206e-13,0.0,275.71663105286706,3.552713678800501e-15,192158.21733847487,-157570.98399530925,34127.70562474425,459.5277184214454,0.0,-0.0,32318.9372266328,4899.50467463271,4899.504674632709,56.421667220004935,typical
Anhui,2038,2040-12-19_12:00,186920.3060938326,0.0,2031.867904,0.0,4200.49577052,0.0,331.18162666633566,52.826882555999994,0.0,0.0,4200.49577052,0.0,147.37053929775746,183.81108736857817,0,0.0,0.0,52.826882555999994,2.220446049250313e-16,0.0,275.71663105286706,-1.7763568394002505e-15,193536.67827757495,-152745.71339050576,40331.43716864773,459.5277184214454,0.0,-0.0,38193.8709987094,4726.3137668763,4726.3137668763,56.421667220004935,typical
