GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
Anhui-Coal_IGCC_RC-12121,2048,2048,-0.0
Anhui-Coal_IGCC_RC-12121_CCS,2038,2038,-0.0
Anhui-Coal_IGCC_RC-12121_CCS,2038,2048,-0.0
Anhui-Coal_IGCC_RC-12121_CCS,2048,2048,0.0
Anhui-Coal_IGCC_RC-12121_H2,2038,2038,0.0
Anhui-Coal_IGCC_RC-12121_H2,2038,2048,0.0
Anhui-Coal_IGCC_RC-12121_H2,2048,2048,0.0
Anhui-Coal_IGCC_RC-12131,2038,2038,-0.0
Anhui-Coal_IGCC_RC-12131,2038,2048,-0.0
Anhui-Coal_IGCC_RC-12131,2048,2048,0.0
Anhui-Coal_IGCC_RC-12131_CCS,2038,2038,-0.0
Anhui-Coal_IGCC_RC-12131_CCS,2038,2048,0.0
Anhui-Coal_IGCC_RC-12131_CCS,2048,2048,-0.0
Anhui-Coal_IGCC_RC-12131_H2,2038,2038,-0.0
Anhui-Coal_IGCC_RC-12131_H2,2038,2048,-0.0
Anhui-Coal_IGCC_RC-12131_H2,2048,2048,0.0
Anhui-Commercial_PV-2,2038,2038,0.0
Anhui-Commercial_PV-2,2038,2048,0.0
Anhui-Commercial_PV-2,2048,2048,0.0
Anhui-Commercial_PV-3,2038,2038,0.0
Anhui-Commercial_PV-3,2038,2048,0.0
Anhui-Commercial_PV-3,2048,2048,0.0
Anhui-Commercial_PV-4,2038,2038,0.0
Anhui-Commercial_PV-4,2038,2048,0.0
Anhui-Commercial_PV-4,2048,2048,0.0
Anhui-EP_Coal_1000_OT-ep-3093,2018,2038,0.0
Anhui-EP_Coal_1000_OT-ep-3093,2018,2048,0.0
Anhui-EP_Coal_1000_RC-ep-1152,2011,2038,0.0
Anhui-EP_Coal_1000_RC-ep-1152,2011,2048,0.0
Anhui-EP_Coal_1000_RC-ep-1153,2015,2038,0.0
Anhui-EP_Coal_1000_RC-ep-1153,2015,2048,0.0
Anhui-EP_Coal_1000_RC-ep-1154,2015,2038,0.0
Anhui-EP_Coal_1000_RC-ep-1154,2015,2048,0.0
Anhui-EP_Coal_1000_RC-ep-1155,2015,2038,0.0
Anhui-EP_Coal_1000_RC-ep-1155,2015,2048,0.0
Anhui-EP_Coal_1000_RC-ep-1156,2015,2038,0.0
Anhui-EP_Coal_1000_RC-ep-1156,2015,2048,0.0
Anhui-EP_Coal_1000_RC-ep-3094,2017,2038,0.0
Anhui-EP_Coal_1000_RC-ep-3094,2017,2048,0.0
Anhui-EP_Coal_1000_RC-ep-3095,2017,2038,0.0
Anhui-EP_Coal_1000_RC-ep-3095,2017,2048,0.0
Anhui-EP_Coal_1000_RC-ep-3096,2017,2038,0.0
Anhui-EP_Coal_1000_RC-ep-3096,2017,2048,0.0
Anhui-EP_Coal_300_OT-ep-1206,2006,2038,0.0
Anhui-EP_Coal_300_OT-ep-1207,2006,2038,0.0
Anhui-EP_Coal_300_OT-ep-1218,2005,2038,0.0
Anhui-EP_Coal_300_OT-ep-1219,2005,2038,0.0
Anhui-EP_Coal_300_OT-ep-1220,2005,2038,0.0
Anhui-EP_Coal_300_OT-ep-1221,2005,2038,0.0
Anhui-EP_Coal_300_RC-ep-1200,2012,2038,0.0
Anhui-EP_Coal_300_RC-ep-1201,2012,2038,0.0
Anhui-EP_Coal_300_RC-ep-1204,2012,2038,0.0
Anhui-EP_Coal_300_RC-ep-1205,2011,2038,0.0
Anhui-EP_Coal_300_RC-ep-1214,2009,2038,0.0
Anhui-EP_Coal_300_RC-ep-1215,2009,2038,0.0
Anhui-EP_Coal_300_RC-ep-1222,2005,2038,0.0
Anhui-EP_Coal_300_RC-ep-1224,2012,2038,0.0
Anhui-EP_Coal_300_RC-ep-1225,2012,2038,0.0
Anhui-EP_Coal_300_RC-ep-1228,2013,2038,0.0
Anhui-EP_Coal_300_RC-ep-1229,2013,2038,0.0
Anhui-EP_Coal_600_OT-ep-1168,2008,2038,0.0
Anhui-EP_Coal_600_OT-ep-1169,2008,2038,0.0
Anhui-EP_Coal_600_OT-ep-1170,2008,2038,0.0
Anhui-EP_Coal_600_OT-ep-1171,2008,2038,0.0
Anhui-EP_Coal_600_OT-ep-1172,2012,2038,0.0
Anhui-EP_Coal_600_OT-ep-1172,2012,2048,0.0
Anhui-EP_Coal_600_OT-ep-1173,2012,2038,0.0
Anhui-EP_Coal_600_OT-ep-1173,2012,2048,0.0
Anhui-EP_Coal_600_OT-ep-1174,2011,2038,0.0
Anhui-EP_Coal_600_OT-ep-1174,2011,2048,0.0
Anhui-EP_Coal_600_OT-ep-1175,2010,2038,0.0
Anhui-EP_Coal_600_OT-ep-1175,2010,2048,0.0
Anhui-EP_Coal_600_OT-ep-1194,2008,2038,0.0
Anhui-EP_Coal_600_OT-ep-1195,2008,2038,0.0
Anhui-EP_Coal_600_RC-ep-1158,2015,2038,0.0
Anhui-EP_Coal_600_RC-ep-1158,2015,2048,0.0
Anhui-EP_Coal_600_RC-ep-1159,2013,2038,0.0
Anhui-EP_Coal_600_RC-ep-1159,2013,2048,0.0
Anhui-EP_Coal_600_RC-ep-1160,2013,2038,0.0
Anhui-EP_Coal_600_RC-ep-1160,2013,2048,0.0
Anhui-EP_Coal_600_RC-ep-1161,2014,2038,0.0
Anhui-EP_Coal_600_RC-ep-1161,2014,2048,0.0
Anhui-EP_Coal_600_RC-ep-1162,2013,2038,0.0
Anhui-EP_Coal_600_RC-ep-1162,2013,2048,0.0
Anhui-EP_Coal_600_RC-ep-1163,2014,2038,0.0
Anhui-EP_Coal_600_RC-ep-1163,2014,2048,0.0
Anhui-EP_Coal_600_RC-ep-1164,2013,2038,0.0
Anhui-EP_Coal_600_RC-ep-1164,2013,2048,0.0
Anhui-EP_Coal_600_RC-ep-1165,2014,2038,0.0
Anhui-EP_Coal_600_RC-ep-1165,2014,2048,0.0
Anhui-EP_Coal_600_RC-ep-1166,2014,2038,0.0
Anhui-EP_Coal_600_RC-ep-1166,2014,2048,0.0
Anhui-EP_Coal_600_RC-ep-1167,2015,2038,0.0
Anhui-EP_Coal_600_RC-ep-1167,2015,2048,0.0
Anhui-EP_Coal_600_RC-ep-1176,2006,2038,0.0
Anhui-EP_Coal_600_RC-ep-1177,2006,2038,0.0
Anhui-EP_Coal_600_RC-ep-1178,2007,2038,0.0
Anhui-EP_Coal_600_RC-ep-1179,2007,2038,0.0
Anhui-EP_Coal_600_RC-ep-1180,2007,2038,0.0
Anhui-EP_Coal_600_RC-ep-1181,2007,2038,0.0
Anhui-EP_Coal_600_RC-ep-1182,2007,2038,0.0
Anhui-EP_Coal_600_RC-ep-1183,2007,2038,0.0
Anhui-EP_Coal_600_RC-ep-1184,2007,2038,0.0
Anhui-EP_Coal_600_RC-ep-1185,2007,2038,0.0
Anhui-EP_Coal_600_RC-ep-1186,2009,2038,0.0
Anhui-EP_Coal_600_RC-ep-1186,2009,2048,0.0
Anhui-EP_Coal_600_RC-ep-1187,2008,2038,0.0
Anhui-EP_Coal_600_RC-ep-1188,2007,2038,0.0
Anhui-EP_Coal_600_RC-ep-1189,2007,2038,0.0
Anhui-EP_Coal_600_RC-ep-1190,2008,2038,0.0
Anhui-EP_Coal_600_RC-ep-1191,2008,2038,0.0
Anhui-EP_Coal_600_RC-ep-1196,2008,2038,0.0
Anhui-EP_Coal_600_RC-ep-1197,2008,2038,0.0
Anhui-EP_Coal_600_RC-ep-1198,2008,2038,0.0
Anhui-EP_Coal_600_RC-ep-3097,2017,2038,0.0
Anhui-EP_Coal_600_RC-ep-3097,2017,2048,0.0
Anhui-EP_Coal_600_RC-ep-3098,2017,2038,0.0
Anhui-EP_Coal_600_RC-ep-3098,2017,2048,0.0
Anhui-EP_Coal_600_RC-ep-3099,2018,2038,0.0
Anhui-EP_Coal_600_RC-ep-3099,2018,2048,0.0
Anhui-EP_Coal_600_RC-ep-3100,2018,2038,0.0
Anhui-EP_Coal_600_RC-ep-3100,2018,2048,0.0
Anhui-Gas_CCGT_OT-12113,2038,2038,-0.0
Anhui-Gas_CCGT_OT-12113,2038,2048,0.0
Anhui-Gas_CCGT_OT-12113,2048,2048,-0.0
Anhui-Gas_CCGT_RC-12123,2038,2038,-0.0
Anhui-Gas_CCGT_RC-12123,2038,2048,0.0
Anhui-Gas_CCGT_RC-12123,2048,2048,-0.0
Anhui-Gas_CCGT_RC-12133,2038,2038,-0.0
Anhui-Gas_CCGT_RC-12133,2038,2048,-0.0
Anhui-Gas_CCGT_RC-12133,2048,2048,0.0
Anhui-Gas_Combustion_Turbine_RC-13107,2038,2038,-0.0
Anhui-Gas_Combustion_Turbine_RC-13107,2038,2048,0.0
Anhui-Gas_Combustion_Turbine_RC-13107,2048,2048,-0.0
Anhui-Hydro_NonPumped-ep-30001,1981,2038,4.615934344949881
Anhui-Hydro_NonPumped-ep-30001,1981,2048,4.615934344949881
Anhui-Hydro_NonPumped-ep-30032,1982,2038,2.952911309173519
Anhui-Hydro_NonPumped-ep-30032,1982,2048,2.952911309173519
Anhui-Hydro_NonPumped-ep-30063,1983,2038,3.441846515049745
Anhui-Hydro_NonPumped-ep-30063,1983,2048,3.441846515049745
Anhui-Hydro_NonPumped-ep-30094,1984,2038,4.130215818059682
Anhui-Hydro_NonPumped-ep-30094,1984,2048,4.130215818059682
Anhui-Hydro_NonPumped-ep-30125,1985,2038,2.351392338786311
Anhui-Hydro_NonPumped-ep-30125,1985,2048,2.351392338786311
Anhui-Hydro_NonPumped-ep-30156,1986,2038,3.210245628055739
Anhui-Hydro_NonPumped-ep-30156,1986,2048,3.210245628055739
Anhui-Hydro_NonPumped-ep-30187,1987,2038,7.597795764997629
Anhui-Hydro_NonPumped-ep-30187,1987,2048,7.597795764997629
Anhui-Hydro_NonPumped-ep-30218,1988,2038,7.198927570730199
Anhui-Hydro_NonPumped-ep-30218,1988,2048,7.198927570730199
Anhui-Hydro_NonPumped-ep-30249,1989,2038,5.391153980582581
Anhui-Hydro_NonPumped-ep-30249,1989,2048,5.391153980582581
Anhui-Hydro_NonPumped-ep-30280,1990,2038,4.213849471696415
Anhui-Hydro_NonPumped-ep-30280,1990,2048,4.213849471696415
Anhui-Hydro_NonPumped-ep-30311,1991,2038,5.246403426211335
Anhui-Hydro_NonPumped-ep-30311,1991,2048,5.246403426211335
Anhui-Hydro_NonPumped-ep-30342,1992,2038,8.028830749125403
Anhui-Hydro_NonPumped-ep-30342,1992,2048,8.028830749125403
Anhui-Hydro_NonPumped-ep-30373,1993,2038,11.21334294529282
Anhui-Hydro_NonPumped-ep-30373,1993,2048,11.21334294529282
Anhui-Hydro_NonPumped-ep-30404,1994,2038,12.81846575932077
Anhui-Hydro_NonPumped-ep-30404,1994,2048,12.81846575932077
Anhui-Hydro_NonPumped-ep-30435,1995,2038,8.945584260143383
Anhui-Hydro_NonPumped-ep-30435,1995,2048,8.945584260143383
Anhui-Hydro_NonPumped-ep-30466,1996,2038,9.7497540066502
Anhui-Hydro_NonPumped-ep-30466,1996,2048,9.7497540066502
Anhui-Hydro_NonPumped-ep-30497,1997,2038,11.90171224830279
Anhui-Hydro_NonPumped-ep-30497,1997,2048,11.90171224830279
Anhui-Hydro_NonPumped-ep-30528,1998,2038,15.2856585416041
Anhui-Hydro_NonPumped-ep-30528,1998,2048,15.2856585416041
Anhui-Hydro_NonPumped-ep-30605,2001,2038,8.324765215839873
Anhui-Hydro_NonPumped-ep-30605,2001,2048,8.324765215839873
Anhui-Hydro_NonPumped-ep-30628,2002,2038,12.96643299267811
Anhui-Hydro_NonPumped-ep-30628,2002,2048,12.96643299267811
