SetProduct_OrderedSet_1,SetProduct_OrderedSet_2,TxCapacityNameplateAvailable
N-C,2020,5.530086924145385
N-C,2030,5.530086924145385
C-S,2020,11.795367229099734
C-S,2030,11.795367229099734
