component,npv_cost
TotalGenFixedCosts,75433533.42446828
LocalTDFixedCosts,20249863.37972583
TxFixedCosts,3537104.452907968
GenVariableOMCostsInTP,11376362.17100936
FuelCostsPerTP,16153628.67867232
