load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge
Shanghai,2050-12-12_20:00,0,49640.5,49640.5,0
Zhejiang,2040-06-26_00:00,85978.6,-7596.66,77427,954.946
Zhejiang,2040-06-26_04:00,67816.6,-252.808,67563.8,0
Zhejiang,2040-06-26_08:00,132409,-24032,85272.6,23104.7
Zhejiang,2040-06-26_12:00,135039,-25638.4,92375.3,17025.1
Zhejiang,2040-06-26_16:00,103184,364.495,99622.7,3925.89
Zhejiang,2040-06-26_20:00,88466.9,0,88466.9,0
Zhejiang,2040-12-19_00:00,65218.9,20302.6,85521.4,0
Zhejiang,2040-12-19_04:00,64030.9,10596.2,74627.1,0
Zhejiang,2040-12-19_08:00,70474.2,35690.2,94187.2,11977.2
Zhejiang,2040-12-19_12:00,91653,55757.2,102033,45377.7
Zhejiang,2040-12-19_16:00,93245.7,16791.9,110038,0
Zhejiang,2040-12-19_20:00,66794.5,30921,97715.5,0
Zhejiang,2050-06-12_00:00,52642.8,39955.7,91643.5,954.946
Zhejiang,2050-06-12_04:00,21552.3,58417,79969.3,0
Zhejiang,2050-06-12_08:00,43174.6,64657.5,100930,6902.39
Zhejiang,2050-06-12_12:00,69712,74999.8,109337,35375.2
Zhejiang,2050-06-12_16:00,54540.5,78383.6,117915,15009.5
Zhejiang,2050-06-12_20:00,32879.9,71830.7,104711,0
Zhejiang,2050-12-12_00:00,57492.5,43731.8,101224,0
Zhejiang,2050-12-12_04:00,58777.6,29552,88329.6,0
Zhejiang,2050-12-12_08:00,88627.8,61117.5,111481,38264.1
Zhejiang,2050-12-12_12:00,113229,83482.9,120767,75944.9
Zhejiang,2050-12-12_16:00,126569,3672.4,130242,0
Zhejiang,2050-12-12_20:00,63461.2,52196.1,115657,0
