STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
Anhui-Hydro_Pumped-ep-35039,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35039,2050.12.12.12,1457.961033769565
Anhui-Hydro_Pumped-ep-35039,2050.12.12.16,0.0
Anhui-Hydro_Pumped-ep-35039,2050.12.12.20,0.0
Anhui-Hydro_Pumped-ep-35040,2040.06.26.00,156.5847156225312
Anhui-Hydro_Pumped-ep-35040,2040.06.26.04,0.0
Anhui-Hydro_Pumped-ep-35040,2040.06.26.08,643.7371642259625
Anhui-Hydro_Pumped-ep-35040,2040.06.26.12,643.7371642259625
Anhui-Hydro_Pumped-ep-35040,2040.06.26.16,643.7371642259625
Anhui-Hydro_Pumped-ep-35040,2040.06.26.20,0.0
Anhui-Hydro_Pumped-ep-35040,2040.12.19.00,0.0
Anhui-Hydro_Pumped-ep-35040,2040.12.19.04,0.0
Anhui-Hydro_Pumped-ep-35040,2040.12.19.08,0.0
Anhui-Hydro_Pumped-ep-35040,2040.12.19.12,971.9740225130432
Anhui-Hydro_Pumped-ep-35040,2040.12.19.16,0.0
Anhui-Hydro_Pumped-ep-35040,2040.12.19.20,0.0
Anhui-Hydro_Pumped-ep-35040,2050.06.12.00,0.0
Anhui-Hydro_Pumped-ep-35040,2050.06.12.04,5.773186139278037
Anhui-Hydro_Pumped-ep-35040,2050.06.12.08,643.7371642259625
Anhui-Hydro_Pumped-ep-35040,2050.06.12.12,971.9740225130433
Anhui-Hydro_Pumped-ep-35040,2050.06.12.16,643.7371642259625
Anhui-Hydro_Pumped-ep-35040,2050.06.12.20,0.0
Anhui-Hydro_Pumped-ep-35040,2050.12.12.00,0.0
Anhui-Hydro_Pumped-ep-35040,2050.12.12.04,0.0
Anhui-Hydro_Pumped-ep-35040,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35040,2050.12.12.12,971.9740225130433
Anhui-Hydro_Pumped-ep-35040,2050.12.12.16,0.0
Anhui-Hydro_Pumped-ep-35040,2050.12.12.20,0.0
Fujian-Battery_Storage-11178,2040.06.26.00,0.0
Fujian-Battery_Storage-11178,2040.06.26.04,0.0
Fujian-Battery_Storage-11178,2040.06.26.08,43259.25060601609
Fujian-Battery_Storage-11178,2040.06.26.12,43068.1792279835
Fujian-Battery_Storage-11178,2040.06.26.16,0.0
Fujian-Battery_Storage-11178,2040.06.26.20,0.0
Fujian-Battery_Storage-11178,2040.12.19.00,0.0
Fujian-Battery_Storage-11178,2040.12.19.04,0.0
Fujian-Battery_Storage-11178,2040.12.19.08,0.0
Fujian-Battery_Storage-11178,2040.12.19.12,43259.25060601609
Fujian-Battery_Storage-11178,2040.12.19.16,0.0
Fujian-Battery_Storage-11178,2040.12.19.20,0.0
Fujian-Battery_Storage-11178,2050.06.12.00,0.0
Fujian-Battery_Storage-11178,2050.06.12.04,0.0
Fujian-Battery_Storage-11178,2050.06.12.08,43259.25060601609
Fujian-Battery_Storage-11178,2050.06.12.12,40776.65689210677
Fujian-Battery_Storage-11178,2050.06.12.16,0.0
Fujian-Battery_Storage-11178,2050.06.12.20,0.0
Fujian-Battery_Storage-11178,2050.12.12.00,0.0
Fujian-Battery_Storage-11178,2050.12.12.04,0.0
Fujian-Battery_Storage-11178,2050.12.12.08,0.0
Fujian-Battery_Storage-11178,2050.12.12.12,43259.25060601609
Fujian-Battery_Storage-11178,2050.12.12.16,0.0
Fujian-Battery_Storage-11178,2050.12.12.20,0.0
Fujian-Hydro_Pumped-ep-35041,2040.06.26.00,0.0
Fujian-Hydro_Pumped-ep-35041,2040.06.26.04,0.0
Fujian-Hydro_Pumped-ep-35041,2040.06.26.08,1328.6
Fujian-Hydro_Pumped-ep-35041,2040.06.26.12,750.5262920968074
Fujian-Hydro_Pumped-ep-35041,2040.06.26.16,667.4853081648346
Fujian-Hydro_Pumped-ep-35041,2040.06.26.20,0.0
Fujian-Hydro_Pumped-ep-35041,2040.12.19.00,0.0
Fujian-Hydro_Pumped-ep-35041,2040.12.19.04,0.0
Fujian-Hydro_Pumped-ep-35041,2040.12.19.08,0.0
