HYDRO_GEN_TPS_1,HYDRO_GEN_TPS_2,SpillHydro
Anhui-Hydro_NonPumped-ep-30094,2040.12.19.00,0.0
Anhui-Hydro_NonPumped-ep-30094,2040.12.19.04,0.0
Anhui-Hydro_NonPumped-ep-30094,2040.12.19.08,0.0
Anhui-Hydro_NonPumped-ep-30094,2040.12.19.12,0.0
Anhui-Hydro_NonPumped-ep-30094,2040.12.19.16,0.0
Anhui-Hydro_NonPumped-ep-30094,2040.12.19.20,0.0
Anhui-Hydro_NonPumped-ep-30094,2050.06.12.00,16.53117037732273
Anhui-Hydro_NonPumped-ep-30094,2050.06.12.04,0.0
Anhui-Hydro_NonPumped-ep-30094,2050.06.12.08,0.0
Anhui-Hydro_NonPumped-ep-30094,2050.06.12.12,0.0
Anhui-Hydro_NonPumped-ep-30094,2050.06.12.16,0.0
Anhui-Hydro_NonPumped-ep-30094,2050.06.12.20,0.0
Anhui-Hydro_NonPumped-ep-30094,2050.12.12.00,0.0
Anhui-Hydro_NonPumped-ep-30094,2050.12.12.04,0.0
Anhui-Hydro_NonPumped-ep-30094,2050.12.12.08,0.0
Anhui-Hydro_NonPumped-ep-30094,2050.12.12.12,0.0
Anhui-Hydro_NonPumped-ep-30094,2050.12.12.16,0.0
Anhui-Hydro_NonPumped-ep-30094,2050.12.12.20,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.06.26.00,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.06.26.04,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.06.26.08,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.06.26.12,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.06.26.16,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.06.26.20,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.12.19.00,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.12.19.04,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.12.19.08,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.12.19.12,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.12.19.16,0.0
Anhui-Hydro_NonPumped-ep-30125,2040.12.19.20,0.0
Anhui-Hydro_NonPumped-ep-30125,2050.06.12.00,9.41143734098358
Anhui-Hydro_NonPumped-ep-30125,2050.06.12.04,0.0
Anhui-Hydro_NonPumped-ep-30125,2050.06.12.08,0.0
Anhui-Hydro_NonPumped-ep-30125,2050.06.12.12,0.0
Anhui-Hydro_NonPumped-ep-30125,2050.06.12.16,0.0
Anhui-Hydro_NonPumped-ep-30125,2050.06.12.20,0.0
Anhui-Hydro_NonPumped-ep-30125,2050.12.12.00,0.0
Anhui-Hydro_NonPumped-ep-30125,2050.12.12.04,0.0
Anhui-Hydro_NonPumped-ep-30125,2050.12.12.08,0.0
Anhui-Hydro_NonPumped-ep-30125,2050.12.12.12,0.0
Anhui-Hydro_NonPumped-ep-30125,2050.12.12.16,0.0
Anhui-Hydro_NonPumped-ep-30125,2050.12.12.20,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.06.26.00,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.06.26.04,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.06.26.08,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.06.26.12,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.06.26.16,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.06.26.20,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.12.19.00,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.12.19.04,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.12.19.08,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.12.19.12,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.12.19.16,0.0
Anhui-Hydro_NonPumped-ep-30156,2040.12.19.20,0.0
Anhui-Hydro_NonPumped-ep-30156,2050.06.12.00,12.84899379795019
Anhui-Hydro_NonPumped-ep-30156,2050.06.12.04,0.0
Anhui-Hydro_NonPumped-ep-30156,2050.06.12.08,0.0
Anhui-Hydro_NonPumped-ep-30156,2050.06.12.12,0.0
Anhui-Hydro_NonPumped-ep-30156,2050.06.12.16,0.0
Anhui-Hydro_NonPumped-ep-30156,2050.06.12.20,0.0
Anhui-Hydro_NonPumped-ep-30156,2050.12.12.00,0.0
Anhui-Hydro_NonPumped-ep-30156,2050.12.12.04,0.0
Anhui-Hydro_NonPumped-ep-30156,2050.12.12.08,0.0
Anhui-Hydro_NonPumped-ep-30156,2050.12.12.12,0.0
Anhui-Hydro_NonPumped-ep-30156,2050.12.12.16,0.0
Anhui-Hydro_NonPumped-ep-30156,2050.12.12.20,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.06.26.00,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.06.26.04,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.06.26.08,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.06.26.12,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.06.26.16,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.06.26.20,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.12.19.00,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.12.19.04,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.12.19.08,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.12.19.12,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.12.19.16,0.0
Anhui-Hydro_NonPumped-ep-30187,2040.12.19.20,0.0
Anhui-Hydro_NonPumped-ep-30187,2050.06.12.00,30.41014363803449
Anhui-Hydro_NonPumped-ep-30187,2050.06.12.04,0.0
Anhui-Hydro_NonPumped-ep-30187,2050.06.12.08,0.0
Anhui-Hydro_NonPumped-ep-30187,2050.06.12.12,0.0
Anhui-Hydro_NonPumped-ep-30187,2050.06.12.16,0.0
Anhui-Hydro_NonPumped-ep-30187,2050.06.12.20,0.0
Anhui-Hydro_NonPumped-ep-30187,2050.12.12.00,0.0
Anhui-Hydro_NonPumped-ep-30187,2050.12.12.04,0.0
Anhui-Hydro_NonPumped-ep-30187,2050.12.12.08,0.0
Anhui-Hydro_NonPumped-ep-30187,2050.12.12.12,0.0
Anhui-Hydro_NonPumped-ep-30187,2050.12.12.16,0.0
Anhui-Hydro_NonPumped-ep-30187,2050.12.12.20,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.06.26.00,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.06.26.04,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.06.26.08,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.06.26.12,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.06.26.16,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.06.26.20,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.12.19.00,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.12.19.04,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.12.19.08,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.12.19.12,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.12.19.16,0.0
Anhui-Hydro_NonPumped-ep-30218,2040.12.19.20,0.0
Anhui-Hydro_NonPumped-ep-30218,2050.06.12.00,28.81367547075407
Anhui-Hydro_NonPumped-ep-30218,2050.06.12.04,0.0
Anhui-Hydro_NonPumped-ep-30218,2050.06.12.08,0.0
Anhui-Hydro_NonPumped-ep-30218,2050.06.12.12,0.0
Anhui-Hydro_NonPumped-ep-30218,2050.06.12.16,0.0
Anhui-Hydro_NonPumped-ep-30218,2050.06.12.20,0.0
Anhui-Hydro_NonPumped-ep-30218,2050.12.12.00,0.0
Anhui-Hydro_NonPumped-ep-30218,2050.12.12.04,0.0
Anhui-Hydro_NonPumped-ep-30218,2050.12.12.08,0.0
Anhui-Hydro_NonPumped-ep-30218,2050.12.12.12,0.0
Anhui-Hydro_NonPumped-ep-30218,2050.12.12.16,0.0
Anhui-Hydro_NonPumped-ep-30218,2050.12.12.20,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.06.26.00,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.06.26.04,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.06.26.08,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.06.26.12,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.06.26.16,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.06.26.20,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.12.19.00,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.12.19.04,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.12.19.08,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.12.19.12,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.12.19.16,0.0
Anhui-Hydro_NonPumped-ep-30249,2040.12.19.20,0.0
Anhui-Hydro_NonPumped-ep-30249,2050.06.12.00,21.57806974485427
Anhui-Hydro_NonPumped-ep-30249,2050.06.12.04,0.0
Anhui-Hydro_NonPumped-ep-30249,2050.06.12.08,0.0
Anhui-Hydro_NonPumped-ep-30249,2050.06.12.12,0.0
Anhui-Hydro_NonPumped-ep-30249,2050.06.12.16,0.0
Anhui-Hydro_NonPumped-ep-30249,2050.06.12.20,0.0
Anhui-Hydro_NonPumped-ep-30249,2050.12.12.00,0.0
Anhui-Hydro_NonPumped-ep-30249,2050.12.12.04,0.0
Anhui-Hydro_NonPumped-ep-30249,2050.12.12.08,0.0
Anhui-Hydro_NonPumped-ep-30249,2050.12.12.12,0.0
Anhui-Hydro_NonPumped-ep-30249,2050.12.12.16,0.0
Anhui-Hydro_NonPumped-ep-30249,2050.12.12.20,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.06.26.00,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.06.26.04,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.06.26.08,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.06.26.12,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.06.26.16,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.06.26.20,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.12.19.00,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.12.19.04,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.12.19.08,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.12.19.12,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.12.19.16,0.0
Anhui-Hydro_NonPumped-ep-30280,2040.12.19.20,0.0
Anhui-Hydro_NonPumped-ep-30280,2050.06.12.00,16.86591370272019
Anhui-Hydro_NonPumped-ep-30280,2050.06.12.04,0.0
Anhui-Hydro_NonPumped-ep-30280,2050.06.12.08,0.0
Anhui-Hydro_NonPumped-ep-30280,2050.06.12.12,0.0
Anhui-Hydro_NonPumped-ep-30280,2050.06.12.16,0.0
Anhui-Hydro_NonPumped-ep-30280,2050.06.12.20,0.0
Anhui-Hydro_NonPumped-ep-30280,2050.12.12.00,0.0
Anhui-Hydro_NonPumped-ep-30280,2050.12.12.04,0.0
Anhui-Hydro_NonPumped-ep-30280,2050.12.12.08,0.0
Anhui-Hydro_NonPumped-ep-30280,2050.12.12.12,0.0
Anhui-Hydro_NonPumped-ep-30280,2050.12.12.16,0.0
Anhui-Hydro_NonPumped-ep-30280,2050.12.12.20,0.0
Anhui-Hydro_NonPumped-ep-30311,2040.06.26.00,0.0
Anhui-Hydro_NonPumped-ep-30311,2040.06.26.04,0.0
Anhui-Hydro_NonPumped-ep-30311,2040.06.26.08,0.0
