gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
EP_Coal_600_SEA,Coal,2048,0.0,0.0,0.0,3800.5054419213557,425932415.13012904,47261124.12453814,0.0,0.0,0.0,0.0
Gas_CCGT_OT,Gas,2038,2401.8828664662115,6355016.094871136,824562.0646686906,420.7051071512516,27270415.085498173,3561989.1570472475,15.482611936080307,0.6517333333333334,0.0,0.0
Gas_CCGT_OT,Gas,2048,0.0,0.0,0.0,420.7051071512516,27270415.085498173,3561989.1570472475,0.0,0.0,0.0,0.0
Gas_CCGT_RC,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_RC,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_SEA,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_SEA,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_Combustion_Turbine_RC,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_Combustion_Turbine_RC,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_NonPumped,Water,2038,63613.38947812403,0.0,0.0,22908.843349302522,2003755977.069037,100011959.73512423,33.071149864253414,0.3169868657756453,0.0,0.0
Hydro_NonPumped,Water,2048,50070.49854727328,0.0,0.0,16338.541116434177,2003755977.069037,71328329.03662229,41.443252340427584,0.34983602854831725,0.0,0.0
Hydro_Pumped,Water,2038,-7756.475463710794,0.0,0.0,13845.90367679696,945359317.98594,49456104.468064904,45.062959930664256,0.18201089391031022,29832.597937349215,22076.122473638417
Hydro_Pumped,Water,2048,-7800.077884025991,0.0,0.0,13644.49694244012,945359317.98594,48736700.90095675,44.77865282912165,0.18573582381371775,30000.299553946123,22200.22166992013
Nuclear_EP_SEA,Uranium,2038,178476.3715485696,708331927.5769413,0.0,23564.0,3748389490.0866084,1550837131.0912833,33.66024587249057,0.8646246399999999,0.0,0.0
Nuclear_EP_SEA,Uranium,2048,143590.0123840512,569875941.3938063,0.0,18958.0,3016150745.4004054,1307101647.2203157,34.07707996380127,0.8646246399999999,0.0,0.0
Nuclear_SEA,Uranium,2038,107105.51561994241,70846218.72252539,0.0,14141.0,1770350441.1545894,336734382.2923816,20.33444337169111,0.86462464,0.0,0.0
Nuclear_SEA,Uranium,2048,141991.87478446082,93922216.41971454,0.0,18747.0,2346988170.5908413,446415350.034317,20.33444337169111,0.8646246400000002,0.0,0.0
Nuclear_SMR,Uranium,2038,17799.162839039996,11773468.212851614,0.0,2350.0,633719321.79948,111919354.83870967,42.553245436339445,0.8646246399999998,0.0,0.0
Nuclear_SMR,Uranium,2048,17799.162839039996,11773468.212851614,0.0,2350.0,633719321.79948,111919354.83870967,42.553245436339445,0.8646246399999998,0.0,0.0
Offshore_Wind,Wind,2038,261179.77976480318,0.0,0.0,81890.0,13902700733.039738,7230594433.134859,80.91474456868556,0.36408649837765883,0.0,0.0
Offshore_Wind,Wind,2048,465024.1076347311,0.0,0.0,189510.0,30958421790.322407,15918791354.024897,100.80598483975503,0.2801168476276664,0.0,0.0
Residential_PV,Solar,2038,14455.240849587684,0.0,0.0,9933.333333300001,913015920.8632206,182814491.92140582,75.80851984322928,0.16612164256730017,0.0,0.0
Residential_PV,Solar,2048,11722.118585414863,0.0,0.0,9933.333333300001,913015920.8632206,182814491.92140582,93.48398967300189,0.13471222057385077,0.0,0.0
Wind,Wind,2038,111599.44988912065,0.0,0.0,65670.00000500001,4321001208.971551,1793611419.3481119,54.790705817948215,0.19399517631158358,0.0,0.0
Wind,Wind,2048,134904.76058373397,0.0,0.0,65670.00000500001,4321001208.971551,1793611419.3481119,45.325402912852645,0.2345071847640418,0.0,0.0
Wind_EP,Wind,2038,19706.753215972036,0.0,0.0,12230.0,1127275809.9217486,194152299.24502403,67.05458249184215,0.18394352923580423,0.0,0.0
