GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Anhui-EP_Coal_300_OT-ep-1206,2038,EP_Coal_300_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_OT-ep-1207,2038,EP_Coal_300_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_OT-ep-1218,2038,EP_Coal_300_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_OT-ep-1219,2038,EP_Coal_300_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_OT-ep-1220,2038,EP_Coal_300_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_OT-ep-1221,2038,EP_Coal_300_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_RC-ep-1200,2038,EP_Coal_300_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_RC-ep-1201,2038,EP_Coal_300_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_RC-ep-1204,2038,EP_Coal_300_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_RC-ep-1205,2038,EP_Coal_300_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_RC-ep-1214,2038,EP_Coal_300_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_RC-ep-1215,2038,EP_Coal_300_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_RC-ep-1222,2038,EP_Coal_300_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_RC-ep-1224,2038,EP_Coal_300_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_RC-ep-1225,2038,EP_Coal_300_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_RC-ep-1228,2038,EP_Coal_300_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_300_RC-ep-1229,2038,EP_Coal_300_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1168,2038,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1169,2038,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1170,2038,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1171,2038,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1172,2038,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1172,2048,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1173,2038,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1173,2048,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1174,2038,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1174,2048,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1175,2038,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1175,2048,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1194,2038,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_OT-ep-1195,2038,EP_Coal_600_OT,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1158,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1158,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1159,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1159,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1160,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1160,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1161,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1161,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1162,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1162,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1163,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1163,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1164,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1164,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1165,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1165,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1166,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1166,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1167,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1167,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1176,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1177,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1178,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1179,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1180,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1181,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1182,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1183,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1184,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1185,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1186,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1186,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1187,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1188,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1189,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1190,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1191,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1196,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1197,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-1198,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-3097,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-3097,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-3098,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-3098,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-3099,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-3099,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-3100,2038,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-EP_Coal_600_RC-ep-3100,2048,EP_Coal_600_RC,Anhui,Coal,.,.,.
Anhui-Gas_CCGT_OT-12113,2038,Gas_CCGT_OT,Anhui,Gas,0,.,0
Anhui-Gas_CCGT_OT-12113,2048,Gas_CCGT_OT,Anhui,Gas,0,.,0
Anhui-Gas_CCGT_RC-12123,2038,Gas_CCGT_RC,Anhui,Gas,0,.,0
Anhui-Gas_CCGT_RC-12123,2048,Gas_CCGT_RC,Anhui,Gas,0,.,0
Anhui-Gas_CCGT_RC-12133,2038,Gas_CCGT_RC,Anhui,Gas,0,.,0
Anhui-Gas_CCGT_RC-12133,2048,Gas_CCGT_RC,Anhui,Gas,0,.,0
Anhui-Gas_Combustion_Turbine_RC-13107,2038,Gas_Combustion_Turbine_RC,Anhui,Gas,0,.,0
Anhui-Gas_Combustion_Turbine_RC-13107,2048,Gas_Combustion_Turbine_RC,Anhui,Gas,0,.,0
Anhui-Hydro_NonPumped-ep-30001,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30001,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30032,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30032,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30063,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30063,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30094,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30094,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30125,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30125,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30156,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30156,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30187,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30187,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30218,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30218,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30249,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30249,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30280,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30280,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30311,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30311,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30342,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30342,2048,Hydro_NonPumped,Anhui,Water,.,.,.
