GEN_TPS_1,GEN_TPS_2,CommitGen
Anhui-Central_PV-404,2050.06.12.20,0.0
Anhui-Central_PV-404,2050.12.12.00,0.0
Anhui-Central_PV-404,2050.12.12.04,0.0
Anhui-Central_PV-404,2050.12.12.08,8330.0
Anhui-Central_PV-404,2050.12.12.12,8330.0
Anhui-Central_PV-404,2050.12.12.16,8330.0
Anhui-Central_PV-404,2050.12.12.20,0.0
Anhui-Central_PV_EP-ep-50012,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50012,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50012,2040.06.26.08,14.308
Anhui-Central_PV_EP-ep-50012,2040.06.26.12,14.308
Anhui-Central_PV_EP-ep-50012,2040.06.26.16,14.308
Anhui-Central_PV_EP-ep-50012,2040.06.26.20,0.0
Anhui-Central_PV_EP-ep-50012,2040.12.19.00,0.0
Anhui-Central_PV_EP-ep-50012,2040.12.19.04,0.0
Anhui-Central_PV_EP-ep-50012,2040.12.19.08,14.308
Anhui-Central_PV_EP-ep-50012,2040.12.19.12,14.308
Anhui-Central_PV_EP-ep-50012,2040.12.19.16,14.308
Anhui-Central_PV_EP-ep-50012,2040.12.19.20,0.0
Anhui-Central_PV_EP-ep-50026,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50026,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50026,2040.06.26.08,30.772
Anhui-Central_PV_EP-ep-50026,2040.06.26.12,30.772
Anhui-Central_PV_EP-ep-50026,2040.06.26.16,30.772
Anhui-Central_PV_EP-ep-50026,2040.06.26.20,0.0
Anhui-Central_PV_EP-ep-50026,2040.12.19.00,0.0
Anhui-Central_PV_EP-ep-50026,2040.12.19.04,0.0
Anhui-Central_PV_EP-ep-50026,2040.12.19.08,30.772
Anhui-Central_PV_EP-ep-50026,2040.12.19.12,30.772
Anhui-Central_PV_EP-ep-50026,2040.12.19.16,30.772
Anhui-Central_PV_EP-ep-50026,2040.12.19.20,0.0
Anhui-Central_PV_EP-ep-50053,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50053,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50053,2040.06.26.08,396.018
Anhui-Central_PV_EP-ep-50053,2040.06.26.12,396.018
Anhui-Central_PV_EP-ep-50053,2040.06.26.16,396.018
Anhui-Central_PV_EP-ep-50053,2040.06.26.20,0.0
Anhui-Central_PV_EP-ep-50053,2040.12.19.00,0.0
Anhui-Central_PV_EP-ep-50053,2040.12.19.04,0.0
Anhui-Central_PV_EP-ep-50053,2040.12.19.08,396.018
Anhui-Central_PV_EP-ep-50053,2040.12.19.12,396.018
Anhui-Central_PV_EP-ep-50053,2040.12.19.16,396.018
Anhui-Central_PV_EP-ep-50053,2040.12.19.20,0.0
Anhui-Central_PV_EP-ep-50083,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50083,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50083,2040.06.26.08,739.2139999999999
Anhui-Central_PV_EP-ep-50083,2040.06.26.12,739.2139999999999
Anhui-Central_PV_EP-ep-50083,2040.06.26.16,739.2139999999999
Anhui-Central_PV_EP-ep-50083,2040.06.26.20,0.0
Anhui-Central_PV_EP-ep-50083,2040.12.19.00,0.0
Anhui-Central_PV_EP-ep-50083,2040.12.19.04,0.0
Anhui-Central_PV_EP-ep-50083,2040.12.19.08,739.2139999999999
Anhui-Central_PV_EP-ep-50083,2040.12.19.12,739.2139999999999
Anhui-Central_PV_EP-ep-50083,2040.12.19.16,739.2139999999999
Anhui-Central_PV_EP-ep-50083,2040.12.19.20,0.0
Anhui-Central_PV_EP-ep-50112,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50112,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50112,2040.06.26.08,2200.296
Anhui-Central_PV_EP-ep-50112,2040.06.26.12,2200.296
Anhui-Central_PV_EP-ep-50112,2040.06.26.16,2200.296
Anhui-Central_PV_EP-ep-50112,2040.06.26.20,0.0
Anhui-Central_PV_EP-ep-50112,2040.12.19.00,0.0
Anhui-Central_PV_EP-ep-50112,2040.12.19.04,0.0
Anhui-Central_PV_EP-ep-50112,2040.12.19.08,2200.296
Anhui-Central_PV_EP-ep-50112,2040.12.19.12,2200.296
Anhui-Central_PV_EP-ep-50112,2040.12.19.16,2200.296
Anhui-Central_PV_EP-ep-50112,2040.12.19.20,0.0
Anhui-Central_PV_EP-ep-50143,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50143,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50143,2040.06.26.08,5316.401999999999
Anhui-Central_PV_EP-ep-50143,2040.06.26.12,5316.401999999999
Anhui-Central_PV_EP-ep-50143,2040.06.26.16,5316.401999999999
Anhui-Central_PV_EP-ep-50143,2040.06.26.20,0.0
