load_zone,period,timepoint_label,Coal,Gas,Uranium,Hydrogen,Solar,Storage,Water,Wind,Battery_Storage,Central_PV,Central_PV_EP,Commercial_PV,Hydro_NonPumped,Hydro_Pumped,Offshore_Wind,Residential_PV,Wind,Wind_EP,curtail_Solar,curtail_Storage,curtail_Water,curtail_Wind,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge,zone_demand_mw,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Anhui,2038,2040-06-26_00:00,50329.31304735171,0.0,2031.867904,0,0.0,-0.0,2688.958800269363,1299.5833311999997,-0.0,0.0,0.0,0.0,1899.3078788188482,789.6509214505149,0,0.0,1047.414984,252.16834719999997,0.0,0.0,3.410605131648481e-13,1.6342482922482304e-13,56349.723082821045,-20882.9156396709,34986.61431524107,480.19312790909703,33132.3237565333,19026.87475993305,19026.87475993305,197.432772962823,peak
Anhui,2038,2040-06-26_04:00,50329.31304735171,0.0,2031.867904,0,0.0,0.0,2688.958800269363,1261.66966744,0.0,0.0,0.0,0.0,1899.3078788188484,789.6509214505149,0,0.0,1016.8580058,244.81166163999998,0.0,0.0,0.0,7.105427357601002e-15,56311.80941906104,-26307.47166405114,30004.33775500993,0.0,28414.1078539944,63265.4064070188,63265.4064070188,197.432772962823,peak
Anhui,2038,2040-06-26_08:00,0.0,0.0,2031.867904,0,27956.336423713903,0.0,1422.7535477234653,2957.3316527999996,0.0,26376.94402345582,1210.2123536999995,369.1800465580843,633.1026262729503,789.6509214505149,0,0.0,2383.4973959999998,573.8342568,-5.684341886080802e-14,0.0,1184.4763821757722,6.181721801112872e-13,34368.28952823738,-823.3237527484453,31570.83847186262,1974.1273036262874,29897.5840328539,159729.29453195244,159729.2945319524,163.51421783976087,peak
Anhui,2038,2040-06-26_12:00,0.0,0.0,2031.867904,0,52911.25897269445,0.0,1422.7535477234653,4197.8210545599995,0.0,50421.516613909334,1929.1266949500002,560.6156638351131,633.1026262729503,789.6509214505149,0,0.0,3383.2849091999997,814.53614536,6.480149750132114e-12,0.0,1184.4763821757722,5.400124791776761e-13,60563.70147897791,-21279.79126201538,37309.78291333622,1974.1273036262874,35332.3644189294,152533.67960397524,152533.6796039752,154.35241131424857,peak
Anhui,2038,2040-06-26_16:00,50329.31304735171,0.0,2031.867904,0,21125.52177564295,0.0,1422.7535477234653,4663.259863359999,0.0,19775.93426663148,1025.90925444,323.67825457146716,633.1026262729503,789.6509214505149,0,0.0,3758.4109751999995,904.8488881599999,3.467448550509289e-12,0.0,1184.4763821757722,5.400124791776761e-13,79572.7161380781,-39503.88864348235,38094.70019096949,1974.1273036262874,36075.6810808481,140889.0191873361,140889.0191873361,189.48134064768215,peak
Anhui,2038,2040-06-26_20:00,50329.31304735171,0.0,2031.867904,0,0.0,0.0,2688.958800269363,4986.882025439999,0.0,0.0,0.0,0.0,1899.3078788188484,789.6509214505149,0,0.0,4019.2381907999993,967.6438346399999,0.0,0.0,0.0,5.400124791776761e-13,60037.02177706104,-20079.38024292917,39957.64153413189,0.0,37839.8865328229,67285.4362886106,67285.4362886106,197.432772962823,peak
Anhui,2038,2040-12-19_00:00,55497.31304735171,0.0,2031.867904,0,0.0,-0.0,331.18162666633566,1047.4821720159998,-0.0,0.0,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,844.2309901199999,203.251181896,0.0,0.0,0.0,1.5631940186722204e-13,58907.84475003405,-21087.72555297279,37820.11919706125,0.0,35815.652879617,84115.95018762744,84115.95018762743,204.31345649660364,typical
Anhui,2038,2040-12-19_04:00,50329.31304735171,0.0,2031.867904,0,0.0,1.818989403545856e-12,331.18162666633566,1287.1870015199997,1.818989403545856e-12,0.0,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,1037.4240114,249.76299011999998,0.0,0.0,0.0,1.5631940186722204e-13,53979.54957953803,-21545.21283295472,32434.33674658332,0.0,30715.3168990144,39427.11984979075,39427.11984979075,197.432772962823,typical
Anhui,2038,2040-12-19_08:00,0.0,0.0,2031.867904,0,157287.82153885448,0.0,331.18162666633566,501.88994721599994,0.0,153867.4938228302,2777.4760708800004,642.8516451442595,147.37053929775746,183.81108736857817,0,0.0,404.50430412,97.385643096,5.780975698144175e-11,0.0,0.0,7.460698725481052e-14,160152.76101673683,-126025.05539199263,34127.70562474425,0.0,32318.9372266328,52533.791264074345,52533.79126407435,174.7938472892437,typical
Anhui,2038,2040-12-19_12:00,0.0,0.0,2031.867904,0,251820.3210055345,0.0,1339.658673580424,272.25041037599993,0.0,246060.7213488064,4200.49577052,1559.1038862081068,147.37053929775746,1192.2881342826665,0,0.0,219.42352781999995,52.826882555999994,2.955857780762017e-11,0.0,1788.4322014240001,6.927791673660977e-14,255464.09799349093,-212151.94048913656,40331.43716864773,2980.7203357066664,38193.8709987094,275468.2057446881,275468.2057446882,6.905953311087207,typical
