TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Fujian-Zhejiang,2038,99242.93440246105
Fujian-Zhejiang,2048,0.0
Anhui-Zhejiang,2038,38453.49729248034
Anhui-Zhejiang,2048,0.0
Jiangsu-Shanghai,2038,0.0
Jiangsu-Shanghai,2048,22871.13935197072
Jiangsu-Zhejiang,2038,43942.63683532047
Jiangsu-Zhejiang,2048,0.0
Zhejiang-Shanghai,2038,32887.15751617737
Zhejiang-Shanghai,2048,0.0
Anhui-Jiangsu,2038,163698.4431966562
Anhui-Jiangsu,2048,74179.7987680902
