PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2038,227400071367.36145,2727164140.5746994,83.38334608618061
2048,333418382665.5337,3227905463.610264,103.29248685388096
