GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Anhui-Coal_600_RC-12127,2038,Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_600_RC-12127,2048,Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_IGCC_RC-12121,2038,Coal_IGCC_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_IGCC_RC-12121,2048,Coal_IGCC_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_IGCC_RC-12131,2038,Coal_IGCC_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_IGCC_RC-12131,2048,Coal_IGCC_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_Small_RC-ep-1157,2038,Coal_Small_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_Small_RC-ep-1157,2048,Coal_Small_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_Small_RC-ep-1199,2038,Coal_Small_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_Small_RC-ep-1199,2048,Coal_Small_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_Small_RC-ep-1232,2038,Coal_Small_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_Small_RC-ep-1232,2048,Coal_Small_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_Small_RC-ep-1242,2038,Coal_Small_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_Small_RC-ep-1242,2048,Coal_Small_RC,Anhui,Coal,0,0,.,0,0
Anhui-Commercial_PV-2,2038,Commercial_PV,Anhui,Solar,1133.33,0,.,7.64847e+07,1.48218e+07
Anhui-Commercial_PV-2,2048,Commercial_PV,Anhui,Solar,1133.33,0,.,7.64847e+07,1.48218e+07
Anhui-Commercial_PV-3,2038,Commercial_PV,Anhui,Solar,1133.33,0,.,7.64847e+07,1.48218e+07
Anhui-Commercial_PV-3,2048,Commercial_PV,Anhui,Solar,1133.33,0,.,7.64847e+07,1.48218e+07
Anhui-Commercial_PV-4,2038,Commercial_PV,Anhui,Solar,0,0,.,0,0
Anhui-Commercial_PV-4,2048,Commercial_PV,Anhui,Solar,0,0,.,0,0
Anhui-EP_Coal_1000_OT-ep-3093,2038,EP_Coal_1000_OT,Anhui,Coal,1000,0,.,3.89221e+07,1.41368e+07
Anhui-EP_Coal_1000_OT-ep-3093,2048,EP_Coal_1000_OT,Anhui,Coal,0,1000,.,3.89221e+07,0
Anhui-EP_Coal_1000_RC-ep-1152,2038,EP_Coal_1000_RC,Anhui,Coal,1050,0,.,4.08682e+07,1.48436e+07
Anhui-EP_Coal_1000_RC-ep-1152,2048,EP_Coal_1000_RC,Anhui,Coal,0,1050,.,4.08682e+07,0
Anhui-EP_Coal_1000_RC-ep-1153,2038,EP_Coal_1000_RC,Anhui,Coal,1000,0,.,3.89221e+07,1.41368e+07
Anhui-EP_Coal_1000_RC-ep-1153,2048,EP_Coal_1000_RC,Anhui,Coal,0,1000,.,3.89221e+07,0
Anhui-EP_Coal_1000_RC-ep-1154,2038,EP_Coal_1000_RC,Anhui,Coal,1000,0,.,3.89221e+07,1.41368e+07
Anhui-EP_Coal_1000_RC-ep-1154,2048,EP_Coal_1000_RC,Anhui,Coal,0,1000,.,3.89221e+07,0
Anhui-EP_Coal_1000_RC-ep-1155,2038,EP_Coal_1000_RC,Anhui,Coal,1000,0,.,3.89221e+07,1.41368e+07
Anhui-EP_Coal_1000_RC-ep-1155,2048,EP_Coal_1000_RC,Anhui,Coal,0,1000,.,3.89221e+07,0
Anhui-EP_Coal_1000_RC-ep-1156,2038,EP_Coal_1000_RC,Anhui,Coal,1000,0,.,3.89221e+07,1.41368e+07
Anhui-EP_Coal_1000_RC-ep-1156,2048,EP_Coal_1000_RC,Anhui,Coal,0,1000,.,3.89221e+07,0
Anhui-EP_Coal_1000_RC-ep-3094,2038,EP_Coal_1000_RC,Anhui,Coal,1000,0,.,3.89221e+07,1.41368e+07
Anhui-EP_Coal_1000_RC-ep-3094,2048,EP_Coal_1000_RC,Anhui,Coal,0,1000,.,3.89221e+07,0
Anhui-EP_Coal_1000_RC-ep-3095,2038,EP_Coal_1000_RC,Anhui,Coal,1000,0,.,3.89221e+07,1.41368e+07
Anhui-EP_Coal_1000_RC-ep-3095,2048,EP_Coal_1000_RC,Anhui,Coal,0,1000,.,3.89221e+07,0
Anhui-EP_Coal_1000_RC-ep-3096,2038,EP_Coal_1000_RC,Anhui,Coal,1000,0,.,3.89221e+07,1.41368e+07
Anhui-EP_Coal_1000_RC-ep-3096,2048,EP_Coal_1000_RC,Anhui,Coal,0,1000,.,3.89221e+07,0
Anhui-EP_Coal_300_OT-ep-1206,2038,EP_Coal_300_OT,Anhui,Coal,330,0,.,1.46996e+07,5.27632e+06
Anhui-EP_Coal_300_OT-ep-1206,2048,EP_Coal_300_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_OT-ep-1207,2038,EP_Coal_300_OT,Anhui,Coal,330,0,.,1.46996e+07,5.27632e+06
Anhui-EP_Coal_300_OT-ep-1207,2048,EP_Coal_300_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_OT-ep-1208,2038,EP_Coal_300_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_OT-ep-1208,2048,EP_Coal_300_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_OT-ep-1209,2038,EP_Coal_300_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_OT-ep-1209,2048,EP_Coal_300_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_OT-ep-1218,2038,EP_Coal_300_OT,Anhui,Coal,320,0,.,1.42542e+07,5.11643e+06
Anhui-EP_Coal_300_OT-ep-1218,2048,EP_Coal_300_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_OT-ep-1219,2038,EP_Coal_300_OT,Anhui,Coal,320,0,.,1.42542e+07,5.11643e+06
Anhui-EP_Coal_300_OT-ep-1219,2048,EP_Coal_300_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_OT-ep-1220,2038,EP_Coal_300_OT,Anhui,Coal,320,0,.,1.42542e+07,5.11643e+06
