gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Battery_Storage,Anhui,Storage,2038,1.3387762010097501e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3387762010097501e-12
Battery_Storage,Anhui,Storage,2048,-291608.6001912777,0.0,0.0,537591.0112379967,8610863974.539217,12510266334.346792,22.002771312804953,0.2038373038997002,1251539.0566149256,959930.4564236482
Battery_Storage,Fujian,Storage,2038,-21981.18916148154,0.0,0.0,44142.09245511846,768158619.2605836,1246407990.3759654,27.84139583300893,0.1871257716894977,94339.86764584354,72358.678484362
Battery_Storage,Fujian,Storage,2048,-21594.627675597818,0.0,0.0,44142.09245511846,768158619.2605836,1246407990.3759654,28.339779574741428,0.1838349753717905,92680.80547466878,71086.17779907097
Battery_Storage,Jiangsu,Storage,2038,-10114.108002643743,0.0,0.0,45600.84728350683,793543802.2569232,1287597783.9035707,62.50785524137579,0.08334700750884208,43408.188852548265,33294.08084990452
Battery_Storage,Jiangsu,Storage,2048,-39652.39905602115,0.0,0.0,91228.38352075379,1524382859.8660083,2349394983.960018,29.677396546617302,0.1633333333333333,170181.97019751565,130529.5711414945
Battery_Storage,Shanghai,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Shanghai,Storage,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Zhejiang,Storage,2038,-14260.280131320687,0.0,0.0,40231.75494876607,700111109.6692202,1135994649.2336087,39.11381640290755,0.13319699173556698,61202.919018543675,46942.638887222995
Battery_Storage,Zhejiang,Storage,2048,-26242.079411523016,0.0,0.0,71422.71207040478,1199712262.5821228,1861838595.0174098,35.4408223035513,0.13806933874591207,112626.95026404705,86384.87085252404
Central_PV,Anhui,Solar,2038,395024.2075014937,0.0,0.0,513519.852024128,25221823413.02315,8306491104.728493,84.87660725861937,0.08781371827511547,0.0,0.0
Central_PV,Anhui,Solar,2048,2424044.265362305,0.0,0.0,2022761.414003228,87097511675.40129,30542228079.017746,48.530359546398905,0.1368017898576705,0.0,0.0
Central_PV,Fujian,Solar,2038,474091.52821733034,0.0,0.0,280000.00002,13752361331.921986,4529167665.714368,38.56118050954886,0.19328584808523594,0.0,0.0
Central_PV,Fujian,Solar,2048,260713.22643776904,0.0,0.0,280000.00002,13752361331.921986,4529167665.714368,70.12121804261459,0.10629208513500761,0.0,0.0
Central_PV,Jiangsu,Solar,2038,7459.969936420495,0.0,0.0,8000.000000999999,392924609.50453484,129404790.45591435,70.01762800817366,0.10644934268675799,0.0,0.0
Central_PV,Jiangsu,Solar,2048,13667.676982495657,0.0,0.0,8000.000000999999,392924609.50453484,129404790.45591435,38.2163992190774,0.19502963728292236,0.0,0.0
Central_PV,Shanghai,Solar,2038,7287.139469906688,0.0,0.0,5001.0,245626996.48581898,80894169.62364168,44.80786561830987,0.1663397793022831,0.0,0.0
Central_PV,Shanghai,Solar,2048,9570.061603594799,0.0,0.0,5001.0,245626996.48581898,80894169.62364168,34.119024478046164,0.21845086698630137,0.0,0.0
Central_PV,Zhejiang,Solar,2038,212016.678978048,0.0,0.0,120000.0,5893869141.831289,1941071856.5960813,36.954361497373476,0.20169014362447488,0.0,0.0
Central_PV,Zhejiang,Solar,2048,135585.629824512,0.0,0.0,120000.0,5893869141.831289,1941071856.5960813,57.78592472202332,0.1289817635316895,0.0,0.0
Central_PV_EP,Anhui,Solar,2038,8761.0320220122,0.0,0.0,8878.5,977742180.5549864,338143476.7355868,150.19756279675667,0.11264490744292237,0.0,0.0
Central_PV_EP,Fujian,Solar,2038,1571.2751926144,0.0,0.0,928.0,102195724.90342146,35343486.671242274,87.5334965009001,0.1932858989497717,0.0,0.0
Central_PV_EP,Jiangsu,Solar,2038,8460.633410713377,0.0,0.0,9073.1,999172447.8677082,345554944.9535003,158.9393284808241,0.10644936480547944,0.0,0.0
Central_PV_EP,Shanghai,Solar,2038,842.3705913923327,0.0,0.0,578.1,63663091.12787494,22017316.427419353,101.7134363792014,0.16633977930228308,0.0,0.0
Central_PV_EP,Zhejiang,Solar,2038,14376.497776889133,0.0,0.0,8137.0,896084712.865453,309902964.48695946,83.88605459189732,0.201690145539726,0.0,0.0
Coal_1000_OT,Anhui,Coal,2038,89923.228196534,594807900.9911437,67684998.04778346,16208.22426037022,595929645.0519006,108154688.2696225,14.44445734837099,0.6333333333333334,0.0,0.0
Coal_1000_OT,Anhui,Coal,2048,0.0,0.0,0.0,0.0,595929645.0519006,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT,Fujian,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT,Fujian,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT,Jiangsu,Coal,2038,108310.5087155892,716432757.5473514,81525059.96500306,34966.10806369961,1285602915.6873817,233322815.43499476,20.638426641864633,0.3536056486805124,0.0,0.0
Coal_1000_OT,Jiangsu,Coal,2048,0.0,0.0,0.0,34966.10806369961,1285602915.6873817,233322815.43499476,0.0,0.0,0.0,0.0
