load_zone,technology,period,capacity
Fujian,EP_Coal_1000_OT,2038,0.0
Fujian,EP_Coal_1000_OT,2048,0.0
Fujian,EP_Coal_1000_RC,2038,0.0
Fujian,EP_Coal_1000_RC,2048,0.0
Fujian,EP_Coal_1000_SEA,2038,4000.0
Fujian,EP_Coal_1000_SEA,2048,0.0
Fujian,EP_Coal_300_OT,2038,0
Fujian,EP_Coal_300_OT,2048,0
Fujian,EP_Coal_300_RC,2038,0.0
Fujian,EP_Coal_300_RC,2048,0
Fujian,EP_Coal_300_SEA,2038,0.0
Fujian,EP_Coal_300_SEA,2048,0
Fujian,EP_Coal_600_OT,2038,1320.0
Fujian,EP_Coal_600_OT,2048,0.0
Fujian,EP_Coal_600_RC,2038,0.0
Fujian,EP_Coal_600_RC,2048,0.0
Fujian,EP_Coal_600_SEA,2038,12860.0
Fujian,EP_Coal_600_SEA,2048,0.0
Fujian,EP_Gas_CCGT_OT,2038,0.0
Fujian,EP_Gas_CCGT_OT,2048,0.0
Fujian,EP_Gas_CCGT_RC,2038,0
Fujian,EP_Gas_CCGT_RC,2048,0
Fujian,EP_Gas_CCGT_SEA,2038,0
Fujian,EP_Gas_CCGT_SEA,2048,0
Fujian,Gas_CCGT_OT,2038,0.0
Fujian,Gas_CCGT_OT,2048,0.0
Fujian,Gas_CCGT_RC,2038,0.0
Fujian,Gas_CCGT_RC,2048,0.0
Fujian,Gas_CCGT_SEA,2038,0.0
Fujian,Gas_CCGT_SEA,2048,0.0
Fujian,Gas_Combustion_Turbine_RC,2038,0.0
Fujian,Gas_Combustion_Turbine_RC,2048,0.0
Fujian,Hydro_NonPumped,2038,7854.075184056108
Fujian,Hydro_NonPumped,2048,2618.025061352038
Fujian,Hydro_Pumped,2038,1400.0
Fujian,Hydro_Pumped,2048,1198.5932656431605
Fujian,Hydro_Pumped_MWh,2038,33600.0
Fujian,Hydro_Pumped_MWh,2048,33600.0
Fujian,Nuclear_EP_SEA,2038,7543.0
Fujian,Nuclear_EP_SEA,2048,7543.0
Fujian,Nuclear_SEA,2038,6561.0
Fujian,Nuclear_SEA,2048,6561.0
Fujian,Nuclear_SMR,2038,0.0
Fujian,Nuclear_SMR,2048,0.0
Fujian,Offshore_Wind,2038,28050.0
Fujian,Offshore_Wind,2048,28050.0
Fujian,Residential_PV,2038,533.3333333
Fujian,Residential_PV,2048,533.3333333
Fujian,Wind,2038,12200.000000999999
Fujian,Wind,2048,12200.000000999999
Fujian,Wind_EP,2038,2258.6
Fujian,Wind_EP,2048,0
Fujian,hydro,2038,0.0
Fujian,hydro,2048,0.0
Fujian,fuel cells,2038,0.0
Fujian,fuel cells,2048,0.0
Jiangsu,Battery_Storage,2038,45600.84728350683
Jiangsu,Battery_Storage,2048,91228.38352075379
Jiangsu,Battery_Storage_MWh,2038,273605.083701041
Jiangsu,Battery_Storage_MWh,2048,547370.3011245228
Jiangsu,Central_PV,2038,8000.000001
Jiangsu,Central_PV,2048,8000.000001
Jiangsu,Central_PV_EP,2038,9073.1
Jiangsu,Central_PV_EP,2048,0
Jiangsu,Coal_1000_OT,2038,34966.10806369961
Jiangsu,Coal_1000_OT,2048,34966.10806369961
Jiangsu,Coal_1000_RC,2038,0.0
Jiangsu,Coal_1000_RC,2048,0.0
Jiangsu,Coal_1000_SEA,2038,0.0
Jiangsu,Coal_1000_SEA,2048,0.0
Jiangsu,Coal_100_OT,2038,0
Jiangsu,Coal_100_OT,2048,0
Jiangsu,Coal_100_RC,2038,0
Jiangsu,Coal_100_RC,2048,0
Jiangsu,Coal_100_SEA,2038,0.0
Jiangsu,Coal_100_SEA,2048,0.0
Jiangsu,Coal_300_OT,2038,0.0
Jiangsu,Coal_300_OT,2048,0.0
Jiangsu,Coal_300_RC,2038,0.0
Jiangsu,Coal_300_RC,2048,0.0
Jiangsu,Coal_300_SEA,2038,0.0
Jiangsu,Coal_300_SEA,2048,0.0
Jiangsu,Coal_600_OT,2038,0.0
Jiangsu,Coal_600_OT,2048,0.0
Jiangsu,Coal_600_RC,2038,0.0
Jiangsu,Coal_600_RC,2048,0.0
Jiangsu,Coal_600_SEA,2038,0.0
Jiangsu,Coal_600_SEA,2048,0.0
Jiangsu,Coal_IGCC_RC,2038,0.0
Jiangsu,Coal_IGCC_RC,2048,0.0
Jiangsu,Coal_Small_OT,2038,0
Jiangsu,Coal_Small_OT,2048,0
Jiangsu,Coal_Small_RC,2038,0
Jiangsu,Coal_Small_RC,2048,0
Jiangsu,Coal_Small_SEA,2038,0.0
Jiangsu,Coal_Small_SEA,2048,0.0
Jiangsu,Commercial_PV,2038,4228.571428
Jiangsu,Commercial_PV,2048,4228.571428
Jiangsu,EP_Coal_1000_OT,2038,17060.0
Jiangsu,EP_Coal_1000_OT,2048,0.0
Jiangsu,EP_Coal_1000_RC,2038,8030.0
Jiangsu,EP_Coal_1000_RC,2048,0.0
Jiangsu,EP_Coal_1000_SEA,2038,2000.0
Jiangsu,EP_Coal_1000_SEA,2048,0.0
Jiangsu,EP_Coal_300_OT,2038,2850.0
Jiangsu,EP_Coal_300_OT,2048,0
Jiangsu,EP_Coal_300_RC,2038,7450.0
Jiangsu,EP_Coal_300_RC,2048,0
Jiangsu,EP_Coal_300_SEA,2038,0.0
Jiangsu,EP_Coal_300_SEA,2048,0.0
Jiangsu,EP_Coal_600_OT,2038,17760.0
Jiangsu,EP_Coal_600_OT,2048,945.0671280934475
Jiangsu,EP_Coal_600_RC,2038,3720.0
Jiangsu,EP_Coal_600_RC,2048,0.0
Jiangsu,EP_Coal_600_SEA,2038,4620.0
Jiangsu,EP_Coal_600_SEA,2048,0.0
Jiangsu,EP_Gas_CCGT_OT,2038,0
Jiangsu,EP_Gas_CCGT_OT,2048,0
Jiangsu,EP_Gas_CCGT_RC,2038,0
Jiangsu,EP_Gas_CCGT_RC,2048,0
Jiangsu,EP_Gas_CCGT_SEA,2038,0.0
Jiangsu,EP_Gas_CCGT_SEA,2048,0.0
Jiangsu,Gas_CCGT_OT,2038,0.0
Jiangsu,Gas_CCGT_OT,2048,0.0
Jiangsu,Gas_CCGT_RC,2038,0.0
Jiangsu,Gas_CCGT_RC,2048,0.0
Jiangsu,Gas_CCGT_SEA,2038,0.0
Jiangsu,Gas_CCGT_SEA,2048,0.0
Jiangsu,Gas_Combustion_Turbine_RC,2038,0.0
Jiangsu,Gas_Combustion_Turbine_RC,2048,0.0
Jiangsu,Hydro_NonPumped,2038,2648.72
Jiangsu,Hydro_NonPumped,2048,2648.72
Jiangsu,Hydro_Pumped,2038,3034.610052436681
Jiangsu,Hydro_Pumped,2048,3034.610052436681
Jiangsu,Hydro_Pumped_MWh,2038,85017.6
Jiangsu,Hydro_Pumped_MWh,2048,85017.6
Jiangsu,Nuclear_EP_SEA,2038,6480.0
Jiangsu,Nuclear_EP_SEA,2048,4488.0
Jiangsu,Nuclear_SEA,2038,3914.0
Jiangsu,Nuclear_SEA,2048,5906.0
Jiangsu,Nuclear_SMR,2038,0.0
Jiangsu,Nuclear_SMR,2048,0.0
Jiangsu,Offshore_Wind,2038,0.0
Jiangsu,Offshore_Wind,2048,107620.0
Jiangsu,Residential_PV,2038,0.0
Jiangsu,Residential_PV,2048,0.0
Jiangsu,Wind,2038,35000.00000400001
Jiangsu,Wind,2048,35000.00000400001
Jiangsu,Wind_EP,2038,5945.6
Jiangsu,Wind_EP,2048,0
Jiangsu,hydro,2038,0.0
Jiangsu,hydro,2048,0.0
Jiangsu,fuel cells,2038,0.0
Jiangsu,fuel cells,2048,0.0
Shanghai,Battery_Storage,2038,0.0
Shanghai,Battery_Storage,2048,0.0
Shanghai,Battery_Storage_MWh,2038,-0.0
Shanghai,Battery_Storage_MWh,2048,0.0
Shanghai,Central_PV,2038,5001.0
Shanghai,Central_PV,2048,5001.0
Shanghai,Central_PV_EP,2038,578.1
Shanghai,Central_PV_EP,2048,0
Shanghai,Coal_1000_OT,2038,36952.27492676606
Shanghai,Coal_1000_OT,2048,53718.82464567667
Shanghai,Coal_1000_RC,2038,0.0
Shanghai,Coal_1000_RC,2048,0.0
Shanghai,Coal_1000_SEA,2038,0.0
Shanghai,Coal_1000_SEA,2048,0.0
Shanghai,Coal_100_OT,2038,0.0
Shanghai,Coal_100_OT,2048,0.0
Shanghai,Coal_100_RC,2038,0.0
Shanghai,Coal_100_RC,2048,0.0
Shanghai,Coal_100_SEA,2038,0
Shanghai,Coal_100_SEA,2048,0
Shanghai,Coal_300_OT,2038,0.0
Shanghai,Coal_300_OT,2048,0.0
Shanghai,Coal_300_RC,2038,0.0
Shanghai,Coal_300_RC,2048,0.0
Shanghai,Coal_300_SEA,2038,0.0
Shanghai,Coal_300_SEA,2048,0.0
Shanghai,Coal_600_OT,2038,0.0
Shanghai,Coal_600_OT,2048,0.0
Shanghai,Coal_600_RC,2038,0.0
Shanghai,Coal_600_RC,2048,0.0
Shanghai,Coal_600_SEA,2038,0.0
Shanghai,Coal_600_SEA,2048,0.0
Shanghai,Coal_IGCC_RC,2038,0.0
Shanghai,Coal_IGCC_RC,2048,0.0
Shanghai,Coal_Small_OT,2038,0
Shanghai,Coal_Small_OT,2048,0
Shanghai,Coal_Small_RC,2038,0
Shanghai,Coal_Small_RC,2048,0
Shanghai,Coal_Small_SEA,2038,0
Shanghai,Coal_Small_SEA,2048,0
Shanghai,Commercial_PV,2038,2200.0
