STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Anhui-Hydro_Pumped-ep-35039,2050.06.12.16,4609.274635968538
Anhui-Hydro_Pumped-ep-35039,2050.06.12.20,3089.938388284624
Anhui-Hydro_Pumped-ep-35039,2050.12.12.00,903.9358409371278
Anhui-Hydro_Pumped-ep-35039,2050.12.12.04,359.6303883298268
Anhui-Hydro_Pumped-ep-35039,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35039,2050.12.12.12,1982.827005926608
Anhui-Hydro_Pumped-ep-35039,2050.12.12.16,1623.196617596781
Anhui-Hydro_Pumped-ep-35039,2050.12.12.20,1263.566229266954
Anhui-Hydro_Pumped-ep-35040,2040.06.26.00,1029.97946276154
Anhui-Hydro_Pumped-ep-35040,2040.06.26.04,0.0
Anhui-Hydro_Pumped-ep-35040,2040.06.26.08,875.482543347309
Anhui-Hydro_Pumped-ep-35040,2040.06.26.12,1750.965086694618
Anhui-Hydro_Pumped-ep-35040,2040.06.26.16,2626.447630041927
Anhui-Hydro_Pumped-ep-35040,2040.06.26.20,1596.468167280387
Anhui-Hydro_Pumped-ep-35040,2040.12.19.00,479.5071844397688
Anhui-Hydro_Pumped-ep-35040,2040.12.19.04,239.7535922198844
Anhui-Hydro_Pumped-ep-35040,2040.12.19.08,0.0
Anhui-Hydro_Pumped-ep-35040,2040.12.19.12,1321.884670617739
Anhui-Hydro_Pumped-ep-35040,2040.12.19.16,1082.131078397854
Anhui-Hydro_Pumped-ep-35040,2040.12.19.20,719.2607766596532
Anhui-Hydro_Pumped-ep-35040,2050.06.12.00,1012.890831789277
Anhui-Hydro_Pumped-ep-35040,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35040,2050.06.12.08,875.482543347309
Anhui-Hydro_Pumped-ep-35040,2050.06.12.12,2197.367213965048
Anhui-Hydro_Pumped-ep-35040,2050.06.12.16,3072.849757312357
Anhui-Hydro_Pumped-ep-35040,2050.06.12.20,2042.870294550817
Anhui-Hydro_Pumped-ep-35040,2050.12.12.00,479.5071844397688
Anhui-Hydro_Pumped-ep-35040,2050.12.12.04,239.7535922198844
Anhui-Hydro_Pumped-ep-35040,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35040,2050.12.12.12,1321.884670617738
Anhui-Hydro_Pumped-ep-35040,2050.12.12.16,1082.131078397854
Anhui-Hydro_Pumped-ep-35040,2050.12.12.20,842.3774861779697
Fujian-Battery_Storage-11178,2040.06.26.00,77683.85619515216
Fujian-Battery_Storage-11178,2040.06.26.04,0.0
Fujian-Battery_Storage-11178,2040.06.26.08,132719.3808592574
Fujian-Battery_Storage-11178,2040.06.26.12,264852.5547307107
Fujian-Battery_Storage-11178,2040.06.26.16,264852.5547307107
Fujian-Battery_Storage-11178,2040.06.26.20,182201.976109742
Fujian-Battery_Storage-11178,2040.12.19.00,-0.0
Fujian-Battery_Storage-11178,2040.12.19.04,0.0
Fujian-Battery_Storage-11178,2040.12.19.08,-0.0
Fujian-Battery_Storage-11178,2040.12.19.12,132719.3808592574
Fujian-Battery_Storage-11178,2040.12.19.16,132719.3808592574
Fujian-Battery_Storage-11178,2040.12.19.20,-0.0
Fujian-Battery_Storage-11178,2050.06.12.00,31545.73634938142
Fujian-Battery_Storage-11178,2050.06.12.04,0.0
Fujian-Battery_Storage-11178,2050.06.12.08,132719.3808592574
Fujian-Battery_Storage-11178,2050.06.12.12,257822.164204241
Fujian-Battery_Storage-11178,2050.06.12.16,201309.3233216959
Fujian-Battery_Storage-11178,2050.06.12.20,31545.73634938142
