generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,ChargeStorage_MW,Store_GWh_typical_yr,Discharge_GWh_typical_yr,is_storage
Anhui-Central_PV-401,2040-06-26_16:00,new.401,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-401,2040-06-26_20:00,new.401,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-401,2040-12-19_00:00,new.401,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-401,2040-12-19_04:00,new.401,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-401,2040-12-19_08:00,new.401,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-401,2040-12-19_12:00,new.401,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-401,2040-12-19_16:00,new.401,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-401,2040-12-19_20:00,new.401,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-401,2050-06-12_00:00,new.401,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
Anhui-Central_PV-401,2050-06-12_04:00,new.401,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
Anhui-Central_PV-401,2050-06-12_08:00,new.401,Central_PV,Anhui,Solar,724.0,2048,360559.8519984644,261045.3328468882,0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
Anhui-Central_PV-401,2050-06-12_12:00,new.401,Central_PV,Anhui,Solar,724.0,2048,360939.5467002151,261320.2318109557,0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
Anhui-Central_PV-401,2050-06-12_16:00,new.401,Central_PV,Anhui,Solar,724.0,2048,313270.4038600199,226807.77239465443,0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
