gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Coal_600_RC,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_RC_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,Solar,2038,5430.570685237518,0.0,0.0,3257.142857,219813222.42854455,42597118.786026254,48.320951226711394,0.19032882118846586,0.0,0.0
Commercial_PV,Solar,2048,6075.833853023207,0.0,0.0,3257.142857,219813222.42854455,42597118.786026254,43.18918975771548,0.2129437884173868,0.0,0.0
EP_Coal_1000_OT,Coal,2038,103724.96165081779,411660666.2634549,75893811.86054763,21860.0,850837744.9365898,309029658.8194921,15.150914929329808,0.5416628109284999,0.0,0.0
EP_Coal_1000_OT,Coal,2048,79453.212,315331639.2518874,58134580.406438395,16060.0,625089395.4108707,227036428.2086479,14.693647160185364,0.5647572459441479,0.0,0.0
EP_Coal_1000_RC,Coal,2038,112738.01036614573,447431396.66591465,82488508.18633465,18080.0,703712096.4525867,255592691.2834592,12.477922750572079,0.7118161441673846,0.0,0.0
EP_Coal_1000_RC,Coal,2048,99129.536,393422472.1482498,72531416.1149952,18080.0,703712096.4525867,255592691.2834592,13.646056609044308,0.6258936436739807,0.0,0.0
EP_Coal_1000_SEA,Coal,2038,136040.0,539911667.8105696,99538182.52799998,24000.0,934131101.4857345,339282333.56211394,13.329352417365612,0.6470700152207001,0.0,0.0
EP_Coal_1000_SEA,Coal,2048,89547.0,355391576.87028134,65520035.51039998,19000.0,739520455.3428731,268598514.07000685,15.226758532202767,0.5380136986301369,0.0,0.0
EP_Coal_300_OT,Coal,2038,13476.016,53483227.536032945,10980063.782169601,6340.0,282410386.9530666,101369354.90734385,32.44749556519103,0.2426432162251703,0.0,0.0
EP_Coal_300_RC,Coal,2038,24312.399999999998,96490358.95676045,19809393.421439998,12150.0,621391939.7468895,194264615.47700754,37.51776518075786,0.22842700640772684,0.0,0.0
EP_Coal_300_SEA,Coal,2038,0.0,0.0,0.0,1280.0,110469678.17722479,20465737.268359642,0.0,0.0,0.0,0.0
EP_Coal_300_SEA,Coal,2048,0.0,0.0,0.0,350.0,15590478.775011564,5596100.03431709,0.0,0.0,0.0,0.0
EP_Coal_600_OT,Coal,2038,83289.00993997669,330555044.59705913,63089226.19966993,26280.0,922397046.9136397,326804516.12903225,18.96716756242154,0.3617913944836112,0.0,0.0
EP_Coal_600_OT,Coal,2048,36238.09199999999,143820704.86616334,27449398.004371196,10560.0,361563207.6988877,131318709.67741933,17.56998194724133,0.3917394406392693,0.0,0.0
EP_Coal_600_RC,Coal,2038,196764.21304835984,780912190.770172,149043696.80890808,29820.0,1142036072.0829842,414772970.2814001,11.880825262467832,0.7532417222067559,0.0,0.0
EP_Coal_600_RC,Coal,2048,72487.69799999997,287687106.16678107,54907517.5597728,13710.0,525060850.04217684,190695419.93822923,13.842947201153875,0.6035631925501832,0.0,0.0
EP_Coal_600_SEA,Coal,2038,97299.09773342921,386157881.0182254,73701497.83689246,28936.63967810286,1083320065.491743,359841115.99705327,18.800986906567374,0.38384563864930027,0.0,0.0
EP_Coal_600_SEA,Coal,2048,35189.16756210049,139657763.50572824,26654865.43426748,12440.0,425932415.13012904,154697419.3548387,20.469014980805106,0.3229122395911378,0.0,0.0
Fuel_Cell,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel_Cell,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_OT,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_OT,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_RC,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_RC,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_SEA,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_SEA,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_Combustion_Turbine_RC,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_Combustion_Turbine_RC,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_NonPumped,Water,2038,63613.38947812403,0.0,0.0,22908.843349302522,2003755977.069037,100011959.73512423,33.071149864253414,0.3169868657756453,0.0,0.0
Hydro_NonPumped,Water,2048,63613.38947812403,0.0,0.0,26640.998165246416,2003755977.069037,116305236.1562053,33.32727953372629,0.27257996891849845,0.0,0.0
