load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge,RunElectrolyzerMW,LiquefyHydrogenMW
Shanghai,2050-06-12_00:00,11926.6,23810,35736.6,0,0,0
Shanghai,2050-06-12_04:00,3154,27962.8,31116.8,0,0,0
Shanghai,2050-06-12_08:00,4395.84,51000.2,38968,16428.1,0,0
Shanghai,2050-06-12_12:00,5293.74,59058.6,47924.2,16428.1,0,0
Shanghai,2050-06-12_16:00,3145.55,44183.3,47328.9,0,0,0
Shanghai,2050-06-12_20:00,19582.1,24180.3,43762.4,0,0,0
Shanghai,2050-12-12_00:00,17744.2,22792.5,40536.7,0,0,0
Shanghai,2050-12-12_04:00,1900,38387,35296.5,4990.54,0,0
Shanghai,2050-12-12_08:00,1711.69,58918.6,44202.2,16428.1,0,0
Shanghai,2050-12-12_12:00,19774.3,34587.2,54361.4,0,0,0
Shanghai,2050-12-12_16:00,3203.68,50482.5,53686.1,0,0,0
Shanghai,2050-12-12_20:00,40539.4,9101.11,49640.5,0,0,0
Zhejiang,2040-06-26_00:00,43032,34395,77427,0,0,0
Zhejiang,2040-06-26_04:00,36855.3,34634.3,67563.8,3925.89,0,0
Zhejiang,2040-06-26_08:00,98716.1,-9517.61,85272.6,3925.89,0,0
Zhejiang,2040-06-26_12:00,94713.1,1588.14,92375.3,3925.89,0,0
Zhejiang,2040-06-26_16:00,77803.9,22773.8,99622.7,954.946,0,0
Zhejiang,2040-06-26_20:00,65330,23137,88466.9,0,0,0
Zhejiang,2040-12-19_00:00,50683.3,35755.5,85521.4,917.384,0,0
Zhejiang,2040-12-19_04:00,36168.3,39376.2,74627.1,917.384,0,0
Zhejiang,2040-12-19_08:00,67280.9,27823.7,94187.2,917.384,0,0
Zhejiang,2040-12-19_12:00,77980.7,26332.8,102033,2281.06,0,0
Zhejiang,2040-12-19_16:00,72319.2,37718.4,110038,0,0,0
Zhejiang,2040-12-19_20:00,74402.9,24230,97715.5,917.384,0,0
Zhejiang,2050-06-12_00:00,50008.6,41635,91643.5,0,0,0
Zhejiang,2050-06-12_04:00,35606.7,44362.7,79969.3,0,0,0
Zhejiang,2050-06-12_08:00,42746.5,74406.1,100930,16223,0,0
Zhejiang,2050-06-12_12:00,64339.2,61220.4,109337,16223,0,0
Zhejiang,2050-06-12_16:00,54020.7,70843.1,117915,6949.14,0,0
Zhejiang,2050-06-12_20:00,55255.3,49455.3,104711,0,0,0
Zhejiang,2050-12-12_00:00,73898.4,27549,101224,223.147,0,0
Zhejiang,2050-12-12_04:00,71127.6,18119.4,88329.6,917.384,0,0
Zhejiang,2050-12-12_08:00,86156.9,29058.9,111481,3734.61,0,0
Zhejiang,2050-12-12_12:00,105114,25844,120767,10191.3,0,0
Zhejiang,2050-12-12_16:00,82809.5,47432.4,130242,0,0,0
Zhejiang,2050-12-12_20:00,97903.8,17753.6,115657,0,0,0
