PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total
2038,1.51581e+09,3e+09,0,0,0
2048,1e+09,1e+09,33.1524,0,0
