generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Anhui-Coal_1000_RC-12125_H2,new.12125_H2,Coal_1000_RC_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12125_H2,new.12125_H2,Coal_1000_RC_H2,Anhui,Hydrogen,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_100_RC-ep-1233,existing.1233,Coal_100_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,8316815.151323792,0.0,0.0,0.0,,
Anhui-Coal_100_RC-ep-1234,existing.1234,Coal_100_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,8316815.151323792,0.0,0.0,0.0,,
Anhui-Coal_300_OT-12111,new.12111,Coal_300_OT,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_OT-12111,new.12111,Coal_300_OT,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_OT-12111_CCS,new.12111_CCS,Coal_300_OT_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_OT-12111_CCS,new.12111_CCS,Coal_300_OT_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_OT-12111_H2,new.12111_H2,Coal_300_OT_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_OT-12111_H2,new.12111_H2,Coal_300_OT_H2,Anhui,Hydrogen,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12119,new.12119,Coal_300_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12119,new.12119,Coal_300_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12119_CCS,new.12119_CCS,Coal_300_RC_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12119_CCS,new.12119_CCS,Coal_300_RC_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12119_H2,new.12119_H2,Coal_300_RC_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12119_H2,new.12119_H2,Coal_300_RC_H2,Anhui,Hydrogen,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12129,new.12129,Coal_300_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12129,new.12129,Coal_300_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12129_CCS,new.12129_CCS,Coal_300_RC_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12129_CCS,new.12129_CCS,Coal_300_RC_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12129_H2,new.12129_H2,Coal_300_RC_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12129_H2,new.12129_H2,Coal_300_RC_H2,Anhui,Hydrogen,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_OT-12109,new.12109,Coal_600_OT,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_OT-12109,new.12109,Coal_600_OT,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_OT-12109_CCS,new.12109_CCS,Coal_600_OT_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_OT-12109_CCS,new.12109_CCS,Coal_600_OT_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_OT-12109_H2,new.12109_H2,Coal_600_OT_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_OT-12109_H2,new.12109_H2,Coal_600_OT_H2,Anhui,Hydrogen,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12117,new.12117,Coal_600_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12117,new.12117,Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12117_CCS,new.12117_CCS,Coal_600_RC_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12117_CCS,new.12117_CCS,Coal_600_RC_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12117_H2,new.12117_H2,Coal_600_RC_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12117_H2,new.12117_H2,Coal_600_RC_H2,Anhui,Hydrogen,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12127,new.12127,Coal_600_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12127,new.12127,Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12127_CCS,new.12127_CCS,Coal_600_RC_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12127_CCS,new.12127_CCS,Coal_600_RC_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12127_H2,new.12127_H2,Coal_600_RC_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12127_H2,new.12127_H2,Coal_600_RC_H2,Anhui,Hydrogen,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12121,new.12121,Coal_IGCC_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12121,new.12121,Coal_IGCC_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12121_CCS,new.12121_CCS,Coal_IGCC_RC_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12121_CCS,new.12121_CCS,Coal_IGCC_RC_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12121_H2,new.12121_H2,Coal_IGCC_RC_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12121_H2,new.12121_H2,Coal_IGCC_RC_H2,Anhui,Hydrogen,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12131,new.12131,Coal_IGCC_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12131,new.12131,Coal_IGCC_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12131_CCS,new.12131_CCS,Coal_IGCC_RC_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12131_CCS,new.12131_CCS,Coal_IGCC_RC_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12131_H2,new.12131_H2,Coal_IGCC_RC_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12131_H2,new.12131_H2,Coal_IGCC_RC_H2,Anhui,Hydrogen,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Commercial_PV-2,new.2,Commercial_PV,Anhui,Solar,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Commercial_PV-2,new.2,Commercial_PV,Anhui,Solar,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Commercial_PV-3,new.3,Commercial_PV,Anhui,Solar,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Commercial_PV-3,new.3,Commercial_PV,Anhui,Solar,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Commercial_PV-4,new.4,Commercial_PV,Anhui,Solar,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Commercial_PV-4,new.4,Commercial_PV,Anhui,Solar,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
