PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2038,195419381586.34085,2727164140.5746994,71.65662626568559
2048,228970734106.13522,3227905463.610264,70.93477076309478
