TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Jiangsu,Shanghai,2050.12.12.00,23182.4113113642
Jiangsu,Shanghai,2050.12.12.04,39043.6435862547
Jiangsu,Shanghai,2050.12.12.08,54664.85132752007
Jiangsu,Shanghai,2050.12.12.12,29774.86038935487
Jiangsu,Shanghai,2050.12.12.16,51345.99005991026
Jiangsu,Shanghai,2050.12.12.20,9256.78582721337
Shanghai,Jiangsu,2040.06.26.00,0.0
Shanghai,Jiangsu,2040.06.26.04,0.0
Shanghai,Jiangsu,2040.06.26.08,0.0
Shanghai,Jiangsu,2040.06.26.12,0.0
Shanghai,Jiangsu,2040.06.26.16,0.0
Shanghai,Jiangsu,2040.06.26.20,0.0
Shanghai,Jiangsu,2040.12.19.00,0.0
Shanghai,Jiangsu,2040.12.19.04,0.0
Shanghai,Jiangsu,2040.12.19.08,0.0
Shanghai,Jiangsu,2040.12.19.12,0.0
Shanghai,Jiangsu,2040.12.19.16,0.0
Shanghai,Jiangsu,2040.12.19.20,0.0
Shanghai,Jiangsu,2050.06.12.00,0.0
Shanghai,Jiangsu,2050.06.12.04,0.0
Shanghai,Jiangsu,2050.06.12.08,0.0
Shanghai,Jiangsu,2050.06.12.12,0.0
Shanghai,Jiangsu,2050.06.12.16,0.0
Shanghai,Jiangsu,2050.06.12.20,0.0
Shanghai,Jiangsu,2050.12.12.00,0.0
Shanghai,Jiangsu,2050.12.12.04,0.0
Shanghai,Jiangsu,2050.12.12.08,0.0
Shanghai,Jiangsu,2050.12.12.12,0.0
Shanghai,Jiangsu,2050.12.12.16,0.0
Shanghai,Jiangsu,2050.12.12.20,0.0
Jiangsu,Zhejiang,2040.06.26.00,10030.86046010768
Jiangsu,Zhejiang,2040.06.26.04,10030.86046010768
Jiangsu,Zhejiang,2040.06.26.08,0.0
Jiangsu,Zhejiang,2040.06.26.12,0.0
Jiangsu,Zhejiang,2040.06.26.16,0.0
Jiangsu,Zhejiang,2040.06.26.20,10030.86046010768
Jiangsu,Zhejiang,2040.12.19.00,10030.86046010768
Jiangsu,Zhejiang,2040.12.19.04,10030.86046010768
Jiangsu,Zhejiang,2040.12.19.08,0.0
Jiangsu,Zhejiang,2040.12.19.12,0.0
Jiangsu,Zhejiang,2040.12.19.16,10030.86046010768
Jiangsu,Zhejiang,2040.12.19.20,10030.86046010768
Jiangsu,Zhejiang,2050.06.12.00,0.0
Jiangsu,Zhejiang,2050.06.12.04,0.0
Jiangsu,Zhejiang,2050.06.12.08,10030.86046010768
Jiangsu,Zhejiang,2050.06.12.12,0.0
Jiangsu,Zhejiang,2050.06.12.16,10030.86046010768
Jiangsu,Zhejiang,2050.06.12.20,0.0
Jiangsu,Zhejiang,2050.12.12.00,0.0
Jiangsu,Zhejiang,2050.12.12.04,0.0
Jiangsu,Zhejiang,2050.12.12.08,0.0
Jiangsu,Zhejiang,2050.12.12.12,0.0
Jiangsu,Zhejiang,2050.12.12.16,0.0
Jiangsu,Zhejiang,2050.12.12.20,0.0
Zhejiang,Jiangsu,2040.06.26.00,0.0
Zhejiang,Jiangsu,2040.06.26.04,0.0
Zhejiang,Jiangsu,2040.06.26.08,10030.86046010768
Zhejiang,Jiangsu,2040.06.26.12,10030.86046010768
Zhejiang,Jiangsu,2040.06.26.16,0.0
Zhejiang,Jiangsu,2040.06.26.20,0.0
Zhejiang,Jiangsu,2040.12.19.00,0.0
Zhejiang,Jiangsu,2040.12.19.04,0.0
Zhejiang,Jiangsu,2040.12.19.08,0.0
Zhejiang,Jiangsu,2040.12.19.12,0.0
Zhejiang,Jiangsu,2040.12.19.16,0.0
Zhejiang,Jiangsu,2040.12.19.20,0.0
Zhejiang,Jiangsu,2050.06.12.00,0.0
Zhejiang,Jiangsu,2050.06.12.04,0.0
Zhejiang,Jiangsu,2050.06.12.08,0.0
Zhejiang,Jiangsu,2050.06.12.12,8535.216432562689
Zhejiang,Jiangsu,2050.06.12.16,0.0
Zhejiang,Jiangsu,2050.06.12.20,0.0
Zhejiang,Jiangsu,2050.12.12.00,0.0
Zhejiang,Jiangsu,2050.12.12.04,0.0
Zhejiang,Jiangsu,2050.12.12.08,0.0
Zhejiang,Jiangsu,2050.12.12.12,0.0
Zhejiang,Jiangsu,2050.12.12.16,0.0
Zhejiang,Jiangsu,2050.12.12.20,0.0
Zhejiang,Shanghai,2040.06.26.00,0.0
Zhejiang,Shanghai,2040.06.26.04,0.0
Zhejiang,Shanghai,2040.06.26.08,5368.232484536624
Zhejiang,Shanghai,2040.06.26.12,5368.232484536624
Zhejiang,Shanghai,2040.06.26.16,5366.231435052638
Zhejiang,Shanghai,2040.06.26.20,0.0
Zhejiang,Shanghai,2040.12.19.00,0.0
Zhejiang,Shanghai,2040.12.19.04,0.0
Zhejiang,Shanghai,2040.12.19.08,5368.232484536624
Zhejiang,Shanghai,2040.12.19.12,5368.232484536624
Zhejiang,Shanghai,2040.12.19.16,0.0
Zhejiang,Shanghai,2040.12.19.20,0.0
Zhejiang,Shanghai,2050.06.12.00,0.0
Zhejiang,Shanghai,2050.06.12.04,0.0
Zhejiang,Shanghai,2050.06.12.08,0.0
Zhejiang,Shanghai,2050.06.12.12,5368.232484536624
Zhejiang,Shanghai,2050.06.12.16,0.0
Zhejiang,Shanghai,2050.06.12.20,0.0
Zhejiang,Shanghai,2050.12.12.00,0.0
Zhejiang,Shanghai,2050.12.12.04,0.0
Zhejiang,Shanghai,2050.12.12.08,5226.786915929557
Zhejiang,Shanghai,2050.12.12.12,5368.232484536624
Zhejiang,Shanghai,2050.12.12.16,0.0
Zhejiang,Shanghai,2050.12.12.20,0.0
Shanghai,Zhejiang,2040.06.26.00,4386.75246962217
Shanghai,Zhejiang,2040.06.26.04,2086.501394496136
Shanghai,Zhejiang,2040.06.26.08,0.0
Shanghai,Zhejiang,2040.06.26.12,0.0
Shanghai,Zhejiang,2040.06.26.16,0.0
Shanghai,Zhejiang,2040.06.26.20,0.0
Shanghai,Zhejiang,2040.12.19.00,2725.240348513937
Shanghai,Zhejiang,2040.12.19.04,4758.588333892498
Shanghai,Zhejiang,2040.12.19.08,0.0
Shanghai,Zhejiang,2040.12.19.12,0.0
Shanghai,Zhejiang,2040.12.19.16,0.0
Shanghai,Zhejiang,2040.12.19.20,0.0
Shanghai,Zhejiang,2050.06.12.00,0.0
Shanghai,Zhejiang,2050.06.12.04,0.0
Shanghai,Zhejiang,2050.06.12.08,2745.27474604216
Shanghai,Zhejiang,2050.06.12.12,0.0
Shanghai,Zhejiang,2050.06.12.16,1130.294478776224
Shanghai,Zhejiang,2050.06.12.20,0.0
Shanghai,Zhejiang,2050.12.12.00,0.0
Shanghai,Zhejiang,2050.12.12.04,0.0
Shanghai,Zhejiang,2050.12.12.08,0.0
Shanghai,Zhejiang,2050.12.12.12,0.0
Shanghai,Zhejiang,2050.12.12.16,0.0
Shanghai,Zhejiang,2050.12.12.20,0.0
Anhui,Jiangsu,2040.06.26.00,126345.7894554192
Anhui,Jiangsu,2040.06.26.04,128080.3767739182
Anhui,Jiangsu,2040.06.26.08,111738.5003075451
Anhui,Jiangsu,2040.06.26.12,128080.3767739182
Anhui,Jiangsu,2040.06.26.16,128080.3767739182
Anhui,Jiangsu,2040.06.26.20,122090.2377239684
Anhui,Jiangsu,2040.12.19.00,120993.813222103
Anhui,Jiangsu,2040.12.19.04,126078.3567749725
Anhui,Jiangsu,2040.12.19.08,128080.3767739182
Anhui,Jiangsu,2040.12.19.12,128080.3767739182
Anhui,Jiangsu,2040.12.19.16,119235.5763526792
Anhui,Jiangsu,2040.12.19.20,116112.32516916
Anhui,Jiangsu,2050.06.12.00,102741.4181443989
Anhui,Jiangsu,2050.06.12.04,81379.72124717954
Anhui,Jiangsu,2050.06.12.08,228852.2367374503
Anhui,Jiangsu,2050.06.12.12,228852.2367374503
Anhui,Jiangsu,2050.06.12.16,193475.4417565371
Anhui,Jiangsu,2050.06.12.20,87553.07914412352
Anhui,Jiangsu,2050.12.12.00,108660.3767786715
Anhui,Jiangsu,2050.12.12.04,125363.590414674
Anhui,Jiangsu,2050.12.12.08,197691.9573057255
Anhui,Jiangsu,2050.12.12.12,213793.3854819856
Anhui,Jiangsu,2050.12.12.16,121008.8244055595
Anhui,Jiangsu,2050.12.12.20,113872.0026973159
Jiangsu,Anhui,2040.06.26.00,0.0
Jiangsu,Anhui,2040.06.26.04,0.0
Jiangsu,Anhui,2040.06.26.08,0.0
Jiangsu,Anhui,2040.06.26.12,0.0
Jiangsu,Anhui,2040.06.26.16,0.0
Jiangsu,Anhui,2040.06.26.20,0.0
Jiangsu,Anhui,2040.12.19.00,0.0
Jiangsu,Anhui,2040.12.19.04,0.0
Jiangsu,Anhui,2040.12.19.08,0.0
Jiangsu,Anhui,2040.12.19.12,0.0
Jiangsu,Anhui,2040.12.19.16,0.0
Jiangsu,Anhui,2040.12.19.20,0.0
Jiangsu,Anhui,2050.06.12.00,0.0
Jiangsu,Anhui,2050.06.12.04,0.0
Jiangsu,Anhui,2050.06.12.08,0.0
Jiangsu,Anhui,2050.06.12.12,0.0
Jiangsu,Anhui,2050.06.12.16,0.0
Jiangsu,Anhui,2050.06.12.20,0.0
Jiangsu,Anhui,2050.12.12.00,0.0
Jiangsu,Anhui,2050.12.12.04,0.0
Jiangsu,Anhui,2050.12.12.08,0.0
Jiangsu,Anhui,2050.12.12.12,0.0
Jiangsu,Anhui,2050.12.12.16,0.0
Jiangsu,Anhui,2050.12.12.20,0.0
