load_zone,period,timepoint_label,Coal,Gas,Uranium,Hydrogen,Solar,Storage,Water,Wind,Battery_Storage,Central_PV,Central_PV_EP,Commercial_PV,Hydro_NonPumped,Hydro_Pumped,Offshore_Wind,Residential_PV,Wind,Wind_EP,curtail_Solar,curtail_Storage,curtail_Water,curtail_Wind,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge,RunElectrolyzerMW,LiquefyHydrogenMW,zone_demand_mw,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Anhui,2038,2040-06-26_00:00,184772.7382732748,0.0,2031.867904,0.0,0.0,-0.0,2688.958800269363,252.16834719999997,-0.0,0.0,0.0,0.0,1899.3078788188482,789.6509214505149,0,0.0,0.0,252.16834719999997,0.0,0.0,1.1368683772161603e-13,2.1316282072803006e-14,189745.7333247441,-154759.11900950308,34986.61431524107,0.0,0.0,0.0,33132.3237565333,0.0,-0.0,57.0813265941441,peak
Anhui,2038,2040-06-26_04:00,184772.7382732748,0.0,2031.867904,0.0,0.0,-0.0,1422.7535477234653,244.81166163999998,-0.0,0.0,0.0,0.0,633.1026262729503,789.6509214505149,0,0.0,0.0,244.81166163999998,0.0,0.0,1184.4763821757722,7.105427357601002e-15,188472.17138663816,-156493.70632800207,30004.33775500993,1974.1273036262876,0.0,0.0,28414.1078539944,12479.058294201579,12479.05829420158,53.715592102730575,peak
Anhui,2038,2040-06-26_08:00,115228.7884638733,0.0,2031.867904,0.0,1210.2123536999995,-0.0,1422.7535477234653,573.8342568,-0.0,0.0,1210.2123536999995,0.0,633.1026262729503,789.6509214505149,0,0.0,0.0,573.8342568,0.0,0.0,1184.4763821757722,4.973799150320701e-14,120467.45652609674,-86922.49075060783,31570.83847186262,1974.1273036262876,0.0,-0.0,29897.5840328539,14604.81829420158,14604.81829420158,50.77378284144094,peak
Anhui,2038,2040-06-26_12:00,161633.5497618178,0.0,2031.867904,0.0,1929.1266949500002,0.0,1422.7535477234653,814.53614536,0.0,0.0,1929.1266949500002,0.0,633.1026262729503,789.6509214505149,0,0.0,0.0,814.53614536,-2.2737367544323206e-13,0.0,1184.4763821757722,-2.842170943040401e-14,167831.8340538512,-128547.9238368888,37309.78291333622,1974.1273036262876,0.0,-0.0,35332.3644189294,13679.90036155647,13679.90036155647,50.77378284144094,peak
Anhui,2038,2040-06-26_16:00,184772.7382732748,0.0,2031.867904,0.0,1025.90925444,-0.0,2688.958800269363,904.8488881599999,-0.0,0.0,1025.90925444,0.0,1899.3078788188482,789.6509214505149,0,0.0,0.0,904.8488881599999,-1.1368683772161603e-13,0.0,0.0,-2.842170943040401e-14,191424.3231201441,-152849.4298012656,38094.70019096949,480.19312790909703,0.0,0.0,36075.6810808481,2931.9142320553756,2931.914232055377,56.79703426830934,peak
Anhui,2038,2040-06-26_20:00,184772.7382732748,0.0,2031.867904,0.0,0.0,-0.0,2688.958800269363,967.6438346399999,-0.0,0.0,0.0,0.0,1899.3078788188482,789.6509214505149,0,0.0,0.0,967.6438346399999,0.0,0.0,0.0,-2.842170943040401e-14,190461.20881218414,-150503.56727805227,39957.64153413189,0.0,0.0,0.0,37839.8865328229,0.0,-0.0,57.0813265941441,peak
Anhui,2038,2040-12-19_00:00,184772.7382732748,0.0,2031.867904,0.0,0.0,0.0,331.18162666633566,203.251181896,0.0,0.0,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,0.0,203.251181896,0.0,0.0,0.0,1.4210854715202004e-14,187339.0389858371,-149407.14277618687,37820.11919706125,111.77701258900015,0.0,0.0,35815.652879617,2289.952768470499,2289.952768470499,58.39751841181264,typical
Anhui,2038,2040-12-19_04:00,184772.7382732748,0.0,2031.867904,0.0,0.0,-0.0,331.18162666633566,249.76299011999998,-0.0,0.0,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,0.0,249.76299011999998,0.0,0.0,275.71663105286706,1.4210854715202004e-14,187385.55079406113,-154491.68632905636,32434.33674658332,459.52771842144546,0.0,0.0,30715.3168990144,2956.0750431968872,2956.075043196888,57.081326594144116,typical
Anhui,2038,2040-12-19_08:00,184772.7382732748,0.0,2031.867904,0.0,2777.4760708800004,0.0,331.18162666633566,97.385643096,0.0,0.0,2777.4760708800004,0.0,147.37053929775746,183.81108736857817,0,0.0,0.0,97.385643096,-2.2737367544323206e-13,0.0,275.71663105286706,3.552713678800501e-15,190010.64951791707,-155423.41617475147,34127.70562474425,459.52771842144546,0.0,0.0,32318.9372266328,4249.93795217889,4249.93795217889,56.421667220004935,typical
Anhui,2038,2040-12-19_12:00,184772.7382732748,0.0,2031.867904,0.0,4200.49577052,0.0,331.18162666633566,52.826882555999994,0.0,0.0,4200.49577052,0.0,147.37053929775746,183.81108736857817,0,0.0,0.0,52.826882555999994,2.220446049250313e-16,0.0,275.71663105286706,-1.7763568394002505e-15,191389.11045701714,-150598.145569948,40331.43716864773,459.52771842144546,0.0,0.0,38193.8709987094,5375.88048933012,5375.880489330119,55.73258996206205,typical
Anhui,2038,2040-12-19_16:00,184772.7382732748,0.0,2031.867904,0.0,828.2676294899999,-0.0,774.108406773156,421.84722103999997,-0.0,0.0,828.2676294899999,0.0,590.2973194045778,183.81108736857817,0,0.0,0.0,421.84722103999997,-5.551115123125783e-17,0.0,0.0,0.0,188828.82943457787,-147648.90590676307,41179.92352781489,0.0,0.0,0.0,38997.3875808407,280.574702243522,280.574702243522,58.954680713858814,typical
