STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
Anhui-Hydro_Pumped-ep-35039,2050.12.12.08,224.7689927061418
Anhui-Hydro_Pumped-ep-35039,2050.12.12.12,224.7689927061418
Anhui-Hydro_Pumped-ep-35039,2050.12.12.16,54.67353876635875
Anhui-Hydro_Pumped-ep-35039,2050.12.12.20,0.0
Anhui-Hydro_Pumped-ep-35040,2040.06.26.00,0.0
Anhui-Hydro_Pumped-ep-35040,2040.06.26.04,643.7371642259625
Anhui-Hydro_Pumped-ep-35040,2040.06.26.08,643.7371642259625
Anhui-Hydro_Pumped-ep-35040,2040.06.26.12,643.7371642259625
Anhui-Hydro_Pumped-ep-35040,2040.06.26.16,156.5847156225312
Anhui-Hydro_Pumped-ep-35040,2040.06.26.20,0.0
Anhui-Hydro_Pumped-ep-35040,2040.12.19.00,36.44902584423919
Anhui-Hydro_Pumped-ep-35040,2040.12.19.04,149.8459951374278
Anhui-Hydro_Pumped-ep-35040,2040.12.19.08,149.8459951374278
Anhui-Hydro_Pumped-ep-35040,2040.12.19.12,149.8459951374278
Anhui-Hydro_Pumped-ep-35040,2040.12.19.16,0.0
Anhui-Hydro_Pumped-ep-35040,2040.12.19.20,0.0
Anhui-Hydro_Pumped-ep-35040,2050.06.12.00,0.0
Anhui-Hydro_Pumped-ep-35040,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35040,2050.06.12.08,1138.8
Anhui-Hydro_Pumped-ep-35040,2050.06.12.12,1138.8
Anhui-Hydro_Pumped-ep-35040,2050.06.12.16,1138.8
Anhui-Hydro_Pumped-ep-35040,2050.06.12.20,0.0
Anhui-Hydro_Pumped-ep-35040,2050.12.12.00,0.0
Anhui-Hydro_Pumped-ep-35040,2050.12.12.04,149.8459951374278
Anhui-Hydro_Pumped-ep-35040,2050.12.12.08,149.8459951374278
Anhui-Hydro_Pumped-ep-35040,2050.12.12.12,149.8459951374278
Anhui-Hydro_Pumped-ep-35040,2050.12.12.16,36.44902584423919
Anhui-Hydro_Pumped-ep-35040,2050.12.12.20,0.0
Fujian-Battery_Storage-11178,2040.06.26.00,0.0
Fujian-Battery_Storage-11178,2040.06.26.04,0.0
Fujian-Battery_Storage-11178,2040.06.26.08,-0.0
Fujian-Battery_Storage-11178,2040.06.26.12,0.0
Fujian-Battery_Storage-11178,2040.06.26.16,0.0
Fujian-Battery_Storage-11178,2040.06.26.20,0.0
Fujian-Battery_Storage-11178,2040.12.19.00,0.0
Fujian-Battery_Storage-11178,2040.12.19.04,0.0
Fujian-Battery_Storage-11178,2040.12.19.08,0.0
Fujian-Battery_Storage-11178,2040.12.19.12,-0.0
Fujian-Battery_Storage-11178,2040.12.19.16,0.0
Fujian-Battery_Storage-11178,2040.12.19.20,0.0
Fujian-Battery_Storage-11178,2050.06.12.00,0.0
Fujian-Battery_Storage-11178,2050.06.12.04,0.0
Fujian-Battery_Storage-11178,2050.06.12.08,11857.19374834981
Fujian-Battery_Storage-11178,2050.06.12.12,11857.19374834981
Fujian-Battery_Storage-11178,2050.06.12.16,0.0
Fujian-Battery_Storage-11178,2050.06.12.20,0.0
Fujian-Battery_Storage-11178,2050.12.12.00,0.0
Fujian-Battery_Storage-11178,2050.12.12.04,0.0
Fujian-Battery_Storage-11178,2050.12.12.08,0.0
Fujian-Battery_Storage-11178,2050.12.12.12,11857.19374834981
Fujian-Battery_Storage-11178,2050.12.12.16,0.0
Fujian-Battery_Storage-11178,2050.12.12.20,0.0
Fujian-Hydro_Pumped-ep-35041,2040.06.26.00,0.0
Fujian-Hydro_Pumped-ep-35041,2040.06.26.04,0.0
Fujian-Hydro_Pumped-ep-35041,2040.06.26.08,1328.6
Fujian-Hydro_Pumped-ep-35041,2040.06.26.12,750.5262920968074
Fujian-Hydro_Pumped-ep-35041,2040.06.26.16,667.4853081648346
Fujian-Hydro_Pumped-ep-35041,2040.06.26.20,0.0
Fujian-Hydro_Pumped-ep-35041,2040.12.19.00,0.0
Fujian-Hydro_Pumped-ep-35041,2040.12.19.04,42.65493784107591
Fujian-Hydro_Pumped-ep-35041,2040.12.19.08,175.3591889022013
Fujian-Hydro_Pumped-ep-35041,2040.12.19.12,175.3591889022013
Fujian-Hydro_Pumped-ep-35041,2040.12.19.16,175.3591889022013
Fujian-Hydro_Pumped-ep-35041,2040.12.19.20,0.0
Fujian-Hydro_Pumped-ep-35041,2050.06.12.00,0.0
Fujian-Hydro_Pumped-ep-35041,2050.06.12.04,0.0
Fujian-Hydro_Pumped-ep-35041,2050.06.12.08,1328.6
Fujian-Hydro_Pumped-ep-35041,2050.06.12.12,1328.6
Fujian-Hydro_Pumped-ep-35041,2050.06.12.16,401.8838748039082
Fujian-Hydro_Pumped-ep-35041,2050.06.12.20,0.0
Fujian-Hydro_Pumped-ep-35041,2050.12.12.00,0.0
Fujian-Hydro_Pumped-ep-35041,2050.12.12.04,0.0
Fujian-Hydro_Pumped-ep-35041,2050.12.12.08,175.3591889022013
Fujian-Hydro_Pumped-ep-35041,2050.12.12.12,649.8605235787456
Fujian-Hydro_Pumped-ep-35041,2050.12.12.16,0.0
Fujian-Hydro_Pumped-ep-35041,2050.12.12.20,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.00,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.04,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.08,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.12,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.16,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.20,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.00,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.04,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.08,-0.0
Jiangsu-Battery_Storage-11179,2040.12.19.12,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.16,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.20,0.0
Jiangsu-Battery_Storage-11179,2050.06.12.00,0.0
Jiangsu-Battery_Storage-11179,2050.06.12.04,0.0
Jiangsu-Battery_Storage-11179,2050.06.12.08,46899.39321698576
Jiangsu-Battery_Storage-11179,2050.06.12.12,46899.39321698576
Jiangsu-Battery_Storage-11179,2050.06.12.16,0.0
Jiangsu-Battery_Storage-11179,2050.06.12.20,0.0
Jiangsu-Battery_Storage-11179,2050.12.12.00,0.0
Jiangsu-Battery_Storage-11179,2050.12.12.04,0.0
Jiangsu-Battery_Storage-11179,2050.12.12.08,19910.48059246306
Jiangsu-Battery_Storage-11179,2050.12.12.12,41236.05554441537
Jiangsu-Battery_Storage-11179,2050.12.12.16,0.0
Jiangsu-Battery_Storage-11179,2050.12.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.00,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.04,585.73240193299
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.08,585.73240193299
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.12,585.73240193299
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.16,142.4754491188356
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.20,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.00,136.9126823754947
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.04,136.9126823754947
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.08,340.4315345552857
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.12,136.9126823754947
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.16,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.20,136.9126823754947
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.00,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.08,1036.6876
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.12,1036.6876
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.16,1036.6876
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.00,33.30308490214739
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.04,136.9126823754947
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.08,136.9126823754947
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.12,136.9126823754947
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.16,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.00,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.04,53.61885773828175
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.08,53.61885773828175
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.12,53.61885773828175
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.16,13.04242485525773
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.20,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.00,12.5332005103895
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.04,12.5332005103895
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.08,31.16363370150903
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.12,12.5332005103895
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.16,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.20,12.5332005103895
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.00,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.08,94.89999999999999
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.12,94.89999999999999
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.16,94.89999999999999
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.00,3.048616340365014
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.04,12.5332005103895
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.08,12.5332005103895
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.12,12.5332005103895
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.16,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.00,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.04,536.1885773828175
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.08,536.1885773828175
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.12,536.1885773828175
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.16,130.4242485525772
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.20,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.00,125.332005103895
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.04,125.332005103895
