BASE_BLD_RETRO_BLD_1,BASE_BLD_RETRO_BLD_2,BASE_BLD_RETRO_BLD_3,BASE_BLD_RETRO_BLD_4,BuildRetrofitGen
Anhui-Coal_IGCC_RC-12131,2038,Anhui-Coal_IGCC_RC-12131_H2,2038,-0.0
Anhui-Coal_IGCC_RC-12131,2038,Anhui-Coal_IGCC_RC-12131_H2,2048,0.0
Anhui-Coal_IGCC_RC-12131,2048,Anhui-Coal_IGCC_RC-12131_CCS,2048,0.0
Anhui-Coal_IGCC_RC-12131,2048,Anhui-Coal_IGCC_RC-12131_H2,2048,0.0
Fujian-Coal_1000_OT-12153,2038,Fujian-Coal_1000_OT-12153_CCS,2038,-0.0
Fujian-Coal_1000_OT-12153,2038,Fujian-Coal_1000_OT-12153_CCS,2048,0.0
Fujian-Coal_1000_OT-12153,2038,Fujian-Coal_1000_OT-12153_H2,2038,-0.0
Fujian-Coal_1000_OT-12153,2038,Fujian-Coal_1000_OT-12153_H2,2048,-0.0
Fujian-Coal_1000_OT-12153,2048,Fujian-Coal_1000_OT-12153_CCS,2048,0.0
Fujian-Coal_1000_OT-12153,2048,Fujian-Coal_1000_OT-12153_H2,2048,-0.0
Fujian-Coal_1000_RC-12135,2038,Fujian-Coal_1000_RC-12135_CCS,2038,-0.0
Fujian-Coal_1000_RC-12135,2038,Fujian-Coal_1000_RC-12135_CCS,2048,0.0
Fujian-Coal_1000_RC-12135,2038,Fujian-Coal_1000_RC-12135_H2,2038,-0.0
Fujian-Coal_1000_RC-12135,2038,Fujian-Coal_1000_RC-12135_H2,2048,0.0
Fujian-Coal_1000_RC-12135,2048,Fujian-Coal_1000_RC-12135_CCS,2048,0.0
Fujian-Coal_1000_RC-12135,2048,Fujian-Coal_1000_RC-12135_H2,2048,-0.0
Fujian-Coal_1000_RC-12161,2038,Fujian-Coal_1000_RC-12161_CCS,2038,-0.0
Fujian-Coal_1000_RC-12161,2038,Fujian-Coal_1000_RC-12161_CCS,2048,0.0
Fujian-Coal_1000_RC-12161,2038,Fujian-Coal_1000_RC-12161_H2,2038,-0.0
Fujian-Coal_1000_RC-12161,2038,Fujian-Coal_1000_RC-12161_H2,2048,0.0
Fujian-Coal_1000_RC-12161,2048,Fujian-Coal_1000_RC-12161_CCS,2048,0.0
Fujian-Coal_1000_RC-12161,2048,Fujian-Coal_1000_RC-12161_H2,2048,-0.0
Fujian-Coal_1000_RC-12171,2038,Fujian-Coal_1000_RC-12171_CCS,2038,-0.0
Fujian-Coal_1000_RC-12171,2038,Fujian-Coal_1000_RC-12171_CCS,2048,0.0
Fujian-Coal_1000_RC-12171,2038,Fujian-Coal_1000_RC-12171_H2,2038,-0.0
Fujian-Coal_1000_RC-12171,2038,Fujian-Coal_1000_RC-12171_H2,2048,-0.0
Fujian-Coal_1000_RC-12171,2048,Fujian-Coal_1000_RC-12171_CCS,2048,0.0
