generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,ChargeStorage_MW,Store_GWh_typical_yr,Discharge_GWh_typical_yr,is_storage
Anhui-Central_PV-401,2040-06-26_12:00,new.401,Central_PV,Anhui,Solar,724.0,2038,43371.78997374601,31401.17594099211,0.0,0.0,483284.0320068357,23736773691.540783,7817408610.589571,,,,False
Anhui-Central_PV-401,2040-06-26_16:00,new.401,Central_PV,Anhui,Solar,724.0,2038,15971.64221579864,11563.468964238215,0.0,0.0,483284.0320068357,23736773691.540783,7817408610.589571,,,,False
Anhui-Central_PV-401,2040-06-26_20:00,new.401,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,483284.0320068357,23736773691.540783,7817408610.589571,,,,False
Anhui-Central_PV-401,2040-12-19_00:00,new.401,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,483284.0320068357,23736773691.540783,7817408610.589571,,,,False
Anhui-Central_PV-401,2040-12-19_04:00,new.401,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,483284.0320068357,23736773691.540783,7817408610.589571,,,,False
Anhui-Central_PV-401,2040-12-19_08:00,new.401,Central_PV,Anhui,Solar,736.0,2038,144355.5581681103,106245.69081172918,0.0,0.0,483284.0320068357,23736773691.540783,7817408610.589571,,,,False
Anhui-Central_PV-401,2040-12-19_12:00,new.401,Central_PV,Anhui,Solar,736.0,2038,231780.2960285379,170590.2978770039,0.0,0.0,483284.0320068357,23736773691.540783,7817408610.589571,,,,False
Anhui-Central_PV-401,2040-12-19_16:00,new.401,Central_PV,Anhui,Solar,736.0,2038,38920.96151677745,28645.8276763482,0.0,0.0,483284.0320068357,23736773691.540783,7817408610.589571,,,,False
Anhui-Central_PV-401,2040-12-19_20:00,new.401,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,483284.0320068357,23736773691.540783,7817408610.589571,,,,False
Anhui-Central_PV-401,2050-06-12_00:00,new.401,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-401,2050-06-12_04:00,new.401,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-401,2050-06-12_08:00,new.401,Central_PV,Anhui,Solar,724.0,2048,947639.8732748325,686091.2682509787,0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-401,2050-06-12_12:00,new.401,Central_PV,Anhui,Solar,724.0,2048,531737.1925455753,384977.7274029965,0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-401,2050-06-12_16:00,new.401,Central_PV,Anhui,Solar,724.0,2048,951539.5584019693,688914.6402830257,0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-401,2050-06-12_20:00,new.401,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-401,2050-12-12_00:00,new.401,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-401,2050-12-12_04:00,new.401,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-401,2050-12-12_08:00,new.401,Central_PV,Anhui,Solar,736.0,2048,401262.1798216354,295328.96434872365,0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-401,2050-12-12_12:00,new.401,Central_PV,Anhui,Solar,736.0,2048,700534.2815809809,515593.2312436019,0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-401,2050-12-12_16:00,new.401,Central_PV,Anhui,Solar,736.0,2048,71974.61052386688,52973.31334556603,0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-401,2050-12-12_20:00,new.401,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,1658536.5221250746,71919621646.49713,25132466654.962143,,,,False
Anhui-Central_PV-402,2040-06-26_00:00,new.402,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2040-06-26_04:00,new.402,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2040-06-26_08:00,new.402,Central_PV,Anhui,Solar,724.0,2038,1345.31999,974.0116727599999,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2040-06-26_12:00,new.402,Central_PV,Anhui,Solar,724.0,2038,2725.98417,1973.61253908,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2040-06-26_16:00,new.402,Central_PV,Anhui,Solar,724.0,2038,1358.93121,983.86619604,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2040-06-26_20:00,new.402,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2040-12-19_00:00,new.402,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2040-12-19_04:00,new.402,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2040-12-19_08:00,new.402,Central_PV,Anhui,Solar,736.0,2038,2787.50955,2051.6070288,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2040-12-19_12:00,new.402,Central_PV,Anhui,Solar,736.0,2038,4187.8242,3082.2386112,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2040-12-19_16:00,new.402,Central_PV,Anhui,Solar,736.0,2038,1068.3225,786.28536,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2040-12-19_20:00,new.402,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-06-12_00:00,new.402,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-06-12_04:00,new.402,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-06-12_08:00,new.402,Central_PV,Anhui,Solar,724.0,2048,0.0,0.0,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-06-12_12:00,new.402,Central_PV,Anhui,Solar,724.0,2048,6277.612950000001,4544.9917758,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-06-12_16:00,new.402,Central_PV,Anhui,Solar,724.0,2048,0.0,0.0,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-06-12_20:00,new.402,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-12-12_00:00,new.402,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-12-12_04:00,new.402,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-12-12_08:00,new.402,Central_PV,Anhui,Solar,736.0,2048,2697.48724,1985.35060864,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-12-12_12:00,new.402,Central_PV,Anhui,Solar,736.0,2048,3957.99117,2913.0815011199998,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-12-12_16:00,new.402,Central_PV,Anhui,Solar,736.0,2048,754.264007,555.138309152,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-402,2050-12-12_20:00,new.402,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-06-26_00:00,new.403,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-06-26_04:00,new.403,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-06-26_08:00,new.403,Central_PV,Anhui,Solar,724.0,2038,1578.76824,1143.02820576,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-06-26_12:00,new.403,Central_PV,Anhui,Solar,724.0,2038,1821.61273,1318.84761652,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-06-26_16:00,new.403,Central_PV,Anhui,Solar,724.0,2038,1384.56262,1002.42333688,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-06-26_20:00,new.403,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-12-19_00:00,new.403,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-12-19_04:00,new.403,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-12-19_08:00,new.403,Central_PV,Anhui,Solar,736.0,2038,3385.77848,2491.9329612799997,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-12-19_12:00,new.403,Central_PV,Anhui,Solar,736.0,2038,4187.057839999999,3081.674570239999,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-12-19_16:00,new.403,Central_PV,Anhui,Solar,736.0,2038,1244.07717,915.64079712,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2040-12-19_20:00,new.403,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-06-12_00:00,new.403,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-06-12_04:00,new.403,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-06-12_08:00,new.403,Central_PV,Anhui,Solar,724.0,2048,0.0,0.0,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-06-12_12:00,new.403,Central_PV,Anhui,Solar,724.0,2048,5076.75182,3675.5683176800003,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-06-12_16:00,new.403,Central_PV,Anhui,Solar,724.0,2048,0.0,0.0,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-06-12_20:00,new.403,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-12-12_00:00,new.403,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-12-12_04:00,new.403,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-12-12_08:00,new.403,Central_PV,Anhui,Solar,736.0,2048,2651.01417,1951.14642912,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-12-12_12:00,new.403,Central_PV,Anhui,Solar,736.0,2048,4025.1393,2962.5025247999997,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-12-12_16:00,new.403,Central_PV,Anhui,Solar,736.0,2048,806.254869,593.403583584,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-403,2050-12-12_20:00,new.403,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-404,2040-06-26_00:00,new.404,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-404,2040-06-26_04:00,new.404,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-404,2040-06-26_08:00,new.404,Central_PV,Anhui,Solar,724.0,2038,1324.98646,959.2901970400001,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-404,2040-06-26_12:00,new.404,Central_PV,Anhui,Solar,724.0,2038,2077.11882,1503.83402568,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-404,2040-06-26_16:00,new.404,Central_PV,Anhui,Solar,724.0,2038,904.28814,654.7046133599999,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-404,2040-06-26_20:00,new.404,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-404,2040-12-19_00:00,new.404,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-404,2040-12-19_04:00,new.404,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-404,2040-12-19_08:00,new.404,Central_PV,Anhui,Solar,736.0,2038,1924.07173,1416.11679328,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
Anhui-Central_PV-404,2040-12-19_12:00,new.404,Central_PV,Anhui,Solar,736.0,2038,3634.27071,2674.82324256,0.0,0.0,8500.0,417482397.546383,137492589.84222242,,,,False
