PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2038,227366582198.06235,2727164140.5746994,83.37106623518049
2048,325968762623.3535,3227905463.610264,100.9846063641444
