load_zone,period,timepoint_label,Coal,Gas,Uranium,Hydrogen,Solar,Storage,Water,Wind,Battery_Storage,Central_PV,Central_PV_EP,Commercial_PV,Hydro_NonPumped,Hydro_Pumped,Offshore_Wind,Residential_PV,Wind,Wind_EP,curtail_Solar,curtail_Storage,curtail_Water,curtail_Wind,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge,RunElectrolyzerMW,LiquefyHydrogenMW,zone_demand_mw,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Anhui,2038,2040-06-26_00:00,48044.351262009564,0.0,2031.867904,0.0,0.0,-0.0,2688.958800269363,1299.5833311999997,-0.0,0.0,0.0,0.0,1899.3078788188482,789.6509214505149,0,0.0,1047.414984,252.16834719999997,0.0,0.0,3.410605131648481e-13,1.6342482922482304e-13,54064.76129747889,-19078.14698223785,34986.61431524107,0.0,0.0,0.0,33132.3237565333,0.0,-0.0,197.45137115345355,peak
Anhui,2038,2040-06-26_04:00,48044.351262009564,0.0,2031.867904,0.0,0.0,-0.0,2688.958800269363,1261.66966744,-0.0,0.0,0.0,0.0,1899.3078788188484,789.6509214505149,0,0.0,1016.8580058,244.81166163999998,0.0,0.0,0.0,7.105427357601002e-15,54026.84763371889,-23542.3167507999,30004.33775500993,480.19312790909714,0.0,0.0,28414.1078539944,1897.1541325644298,1897.15413256443,197.4513711534535,peak
Anhui,2038,2040-06-26_08:00,0.0,0.0,2031.867904,0.0,27741.604162116833,0.0,1422.7535477234653,2957.3316527999996,0.0,26162.21176185875,1210.2123536999995,369.1800465580843,633.1026262729503,789.6509214505149,0,0.0,2383.4973959999998,573.8342568,-3.694822225952521e-12,0.0,1184.4763821757722,6.181721801112872e-13,34153.55726664031,-608.5914911513755,31570.83847186262,1974.1273036262874,0.0,0.0,29897.5840328539,140860.8530657425,140860.8530657425,162.39742322569595,peak
Anhui,2038,2040-06-26_12:00,0.0,0.0,2031.867904,0.0,52486.24805253113,0.0,1422.7535477234653,4197.8210545599995,0.0,49996.50569374602,1929.1266949500002,560.6156638351131,633.1026262729503,789.6509214505149,0,0.0,3383.2849091999997,814.53614536,-8.071765478234738e-12,0.0,1184.4763821757722,5.400124791776761e-13,60138.6905588146,-20854.78034185206,37309.78291333622,1974.1273036262874,0.0,0.0,35332.3644189294,127602.61244624732,127602.6124462473,153.86333071032095,peak
Anhui,2038,2040-06-26_16:00,48044.351262009564,0.0,2031.867904,0.0,20969.01169481011,-0.0,1422.7535477234653,4663.259863359999,-0.0,19619.42418579864,1025.90925444,323.67825457146716,633.1026262729503,789.6509214505149,0,0.0,3758.4109751999995,904.8488881599999,1.6484591469634324e-12,0.0,1184.4763821757722,5.400124791776761e-13,77131.24427190312,-37062.41677730736,38094.70019096949,1974.1273036262874,0.0,0.0,36075.6810808481,91711.10903068424,91711.10903068422,189.49941959948794,peak
Anhui,2038,2040-06-26_20:00,48044.351262009564,0.0,2031.867904,0.0,0.0,-0.0,2688.958800269363,4986.882025439999,-0.0,0.0,0.0,0.0,1899.3078788188484,789.6509214505149,0,0.0,4019.2381907999993,967.6438346399999,0.0,0.0,0.0,5.400124791776761e-13,57752.05999171889,-17794.41845758703,39957.64153413189,0.0,0.0,0.0,37839.8865328229,34377.00896144958,34377.00896144958,198.294409862685,peak
Anhui,2038,2040-12-19_00:00,53212.351262009564,0.0,2031.867904,-2.767234798224643e-12,0.0,0.0,331.18162666633566,1047.4821720159998,0.0,0.0,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,844.2309901199999,203.251181896,0.0,0.0,0.0,1.5631940186722204e-13,56622.8829646919,-18802.76376763063,37820.11919706125,0.0,0.0,0.0,35815.652879617,34377.00896144958,34377.00896144958,203.88814312450245,typical
Anhui,2038,2040-12-19_04:00,48044.351262009564,0.0,2031.867904,9.018539761503506e-12,0.0,0.0,331.18162666633566,1287.1870015199997,0.0,0.0,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,1037.4240114,249.76299011999998,0.0,0.0,0.0,1.5631940186722204e-13,51694.58779419588,-19260.25104761258,32434.33674658332,0.0,0.0,0.0,30715.3168990144,81708.55197139044,81708.55197139044,197.4513711534536,typical
Anhui,2038,2040-12-19_08:00,0.0,0.0,2031.867904,0.0,155873.24564413456,0.0,331.18162666633566,501.88994721599994,0.0,152452.91792811028,2777.4760708800004,642.8516451442595,147.37053929775746,183.81108736857817,0,0.0,404.50430412,97.385643096,-2.950173438875936e-11,0.0,0.0,7.460698725481052e-14,158738.1851220169,-124610.4794972726,34127.70562474425,0.0,0.0,0.0,32318.9372266328,74034.44622503463,74034.44622503463,174.46742974922185,typical
Anhui,2038,2040-12-19_12:00,0.0,0.0,2031.867904,0.0,249549.048435266,0.0,1339.658673580424,272.25041037599993,0.0,243789.44877853792,4200.49577052,1559.1038862081068,147.37053929775746,1192.2881342826665,0,0.0,219.42352781999995,52.826882555999994,-2.864908310584724e-11,0.0,1788.4322014240001,6.927791673660977e-14,253192.82542322244,-209880.66791886796,40331.43716864773,2980.7203357066664,-0.0,-0.0,38193.8709987094,271775.4714512662,271775.4714512663,7.288611548142184,typical
