gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Commercial_PV,Solar,2048,20743.138488711167,0.0,0.0,15895.238094,1072714234.5636135,207878921.78789002,61.73574731945353,0.14897154541753332,0.0,0.0
EP_Coal_1000_OT,Coal,2038,118197.40849780274,469098500.0950887,86483058.08137949,21860.0,850837744.9365898,309029658.8194921,13.78173958764462,0.6172394716993297,0.0,0.0
EP_Coal_1000_OT,Coal,2048,0.0,0.0,0.0,0.0,625089395.4108707,0.0,0.0,0.0,0.0,0.0
EP_Coal_1000_RC,Coal,2038,97536.006,387098115.7824296,71365456.98529918,18080.0,703712096.4525867,255592691.2834592,13.804162777779473,0.6158322599709056,0.0,0.0
EP_Coal_1000_RC,Coal,2048,0.0,0.0,0.0,2000.0,703712096.4525867,28273527.79684283,0.0,0.0,0.0,0.0
EP_Coal_1000_SEA,Coal,2038,118020.4,468395993.8229238,86353543.93727998,24000.0,934131101.4857345,339282333.56211394,14.758545377500603,0.5613603500761035,0.0,0.0
EP_Coal_1000_SEA,Coal,2048,0.0,0.0,0.0,13445.420457995873,739520455.3428731,190074734.52969277,0.0,0.0,0.0,0.0
EP_Coal_300_OT,Coal,2038,5789.375999999999,22976710.171585444,4717100.197785599,6340.0,282410386.9530666,101369354.90734385,70.25911808664628,0.10424095760770927,0.0,0.0
EP_Coal_300_RC,Coal,2038,10942.48,43428202.19629374,8915775.132288,12150.0,621391939.7468895,194264615.47700754,78.50914577135994,0.1028100043219272,0.0,0.0
EP_Coal_300_SEA,Coal,2038,894.976,3551955.1956074117,729213.5571456,1280.0,110469678.17722479,20465737.268359642,150.26924815994155,0.07981735159817352,0.0,0.0
EP_Coal_300_SEA,Coal,2048,0.0,0.0,0.0,0.0,15590478.775011564,0.0,0.0,0.0,0.0,0.0
EP_Coal_600_OT,Coal,2038,118444.63199999998,470079673.6719286,89718681.8017152,26940.0,922397046.9136397,335011935.4838709,14.584777941388168,0.5018959432935697,0.0,0.0
EP_Coal_600_OT,Coal,2048,0.0,0.0,0.0,2640.0,361563207.6988877,32829677.419354834,0.0,0.0,0.0,0.0
EP_Coal_600_RC,Coal,2038,149221.89599999998,592227600.2882636,113031646.76194559,29820.0,1142036072.0829842,414772970.2814001,14.401617324662917,0.571242891136775,0.0,0.0
EP_Coal_600_RC,Coal,2048,0.0,0.0,0.0,1320.0,525060850.04217684,18360171.72271791,0.0,0.0,0.0,0.0
EP_Coal_600_SEA,Coal,2038,73423.93214520482,291402805.51108223,55616690.20818402,31640.0,1083320065.491743,393458709.6774193,24.081815411131192,0.2649092102982354,0.0,0.0
EP_Coal_600_SEA,Coal,2048,0.0,0.0,0.0,7820.0,425932415.13012904,97245483.87096773,0.0,0.0,0.0,0.0
Fuel_Cell,Hydrogen,2038,-1.6982573350637327e-12,0.0,0.0,-1.242511941971813e-12,-3.466939048727293e-08,-2.5307908743398004e-08,35.31696757159602,0.15602666343755917,0.0,0.0
Fuel_Cell,Hydrogen,2048,136069.11813358805,0.0,0.0,51354.01477749414,1432913705.911503,1045996159.6291988,18.218019632544337,0.302469133532217,0.0,0.0
Gas_CCGT_OT,Gas,2038,4374.826970906048,11575125.581909962,1501870.2244234988,766.2788536691199,49670760.00644754,6487862.6896789735,15.482611936080408,0.6517333333333285,0.0,0.0
Gas_CCGT_OT,Gas,2048,0.0,0.0,0.0,766.2788536691199,49670760.00644754,6487862.6896789735,0.0,0.0,0.0,0.0
Gas_CCGT_RC,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_RC,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_SEA,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_SEA,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_Combustion_Turbine_RC,Gas,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas_Combustion_Turbine_RC,Gas,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_NonPumped,Water,2038,63613.38947812403,0.0,0.0,22908.843349302522,2003755977.069037,100011959.73512423,33.071149864253414,0.3169868657756453,0.0,0.0
Hydro_NonPumped,Water,2048,63613.38947812403,0.0,0.0,26640.998165246416,2003755977.069037,116305236.1562053,33.32727953372628,0.2725799689184985,0.0,0.0
Hydro_Pumped,Water,2038,-7756.475463710794,0.0,0.0,13845.90367679696,945359317.98594,49456104.468064904,45.062959930664256,0.18201089391031022,29832.597937349215,22076.122473638417
Hydro_Pumped,Water,2048,-10914.260342856673,0.0,0.0,15944.99,945359317.98594,56953818.94818119,32.2664169697496,0.22239464379206422,41977.92439560258,31063.66405274591
Nuclear_EP_SEA,Uranium,2038,178476.3715485696,708331927.5769413,0.0,23564.0,3748389490.0866084,1550837131.0912833,33.66024587249057,0.8646246399999999,0.0,0.0
Nuclear_EP_SEA,Uranium,2048,143590.0123840512,569875941.3938063,0.0,18958.0,3016150745.4004054,1307101647.2203157,34.07707996380127,0.8646246399999999,0.0,0.0
Nuclear_SEA,Uranium,2038,107105.51561994241,70846218.72252539,0.0,14141.0,1770350441.1545894,336734382.2923816,20.33444337169111,0.86462464,0.0,0.0
Nuclear_SEA,Uranium,2048,141991.87478446082,93922216.41971456,0.0,18747.0,2346988170.5908413,446415350.034317,20.33444337169111,0.8646246400000002,0.0,0.0
Nuclear_SMR,Uranium,2038,17799.162839039996,11773468.212851614,0.0,2350.0,633719321.79948,111919354.83870967,42.553245436339445,0.8646246399999998,0.0,0.0
Nuclear_SMR,Uranium,2048,17799.162839039996,11773468.212851614,0.0,2350.0,633719321.79948,111919354.83870967,42.553245436339445,0.8646246399999998,0.0,0.0
Offshore_Wind,Wind,2038,261179.77976480318,0.0,0.0,81890.0,13902700733.039738,7230594433.134859,80.91474456868556,0.36408649837765883,0.0,0.0
Offshore_Wind,Wind,2048,471019.50549322646,0.0,0.0,189510.0,30958421790.322407,15918791354.024897,99.52287027956515,0.2837282989929246,0.0,0.0
Residential_PV,Solar,2038,15902.269353458845,0.0,0.0,10999.9999999,1011057898.936694,202445578.30106688,76.3100819301502,0.16502977743465558,0.0,0.0
Residential_PV,Solar,2048,12488.860099210142,0.0,0.0,10999.9999999,1011057898.936694,202445578.30106688,97.1668725246197,0.12960626919181897,0.0,0.0
Wind,Wind,2038,111599.44988912065,0.0,0.0,65670.00000500001,4321001208.971551,1793611419.3481119,54.790705817948215,0.19399517631158358,0.0,0.0
Wind,Wind,2048,135747.79203907022,0.0,0.0,65670.00000500001,4321001208.971551,1793611419.3481119,45.04391958404589,0.2359726403373144,0.0,0.0
Wind_EP,Wind,2038,19706.753215972036,0.0,0.0,12230.0,1127275809.9217486,194152299.24502403,67.05458249184215,0.18394352923580423,0.0,0.0
