STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Anhui-Hydro_Pumped-ep-35039,2050.06.12.20,5424.486805857685
Anhui-Hydro_Pumped-ep-35039,2050.12.12.00,719.2607766596536
Anhui-Hydro_Pumped-ep-35039,2050.12.12.04,359.6303883298268
Anhui-Hydro_Pumped-ep-35039,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35039,2050.12.12.12,1982.827005926608
Anhui-Hydro_Pumped-ep-35039,2050.12.12.16,1623.196617596781
Anhui-Hydro_Pumped-ep-35039,2050.12.12.20,1078.89116498948
Anhui-Hydro_Pumped-ep-35040,2040.06.26.00,566.4887045188475
Anhui-Hydro_Pumped-ep-35040,2040.06.26.04,0.0
Anhui-Hydro_Pumped-ep-35040,2040.06.26.08,875.482543347309
Anhui-Hydro_Pumped-ep-35040,2040.06.26.12,1750.965086694618
Anhui-Hydro_Pumped-ep-35040,2040.06.26.16,2626.447630041927
Anhui-Hydro_Pumped-ep-35040,2040.06.26.20,1596.468167280387
Anhui-Hydro_Pumped-ep-35040,2040.12.19.00,479.5071844397688
Anhui-Hydro_Pumped-ep-35040,2040.12.19.04,239.7535922198844
Anhui-Hydro_Pumped-ep-35040,2040.12.19.08,0.0
Anhui-Hydro_Pumped-ep-35040,2040.12.19.12,1321.884670617739
Anhui-Hydro_Pumped-ep-35040,2040.12.19.16,1082.131078397854
Anhui-Hydro_Pumped-ep-35040,2040.12.19.20,719.2607766596532
Anhui-Hydro_Pumped-ep-35040,2050.06.12.00,2586.34507447692
Anhui-Hydro_Pumped-ep-35040,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35040,2050.06.12.08,1548.768
Anhui-Hydro_Pumped-ep-35040,2050.06.12.12,3097.536
Anhui-Hydro_Pumped-ep-35040,2050.06.12.16,4646.304
Anhui-Hydro_Pumped-ep-35040,2050.06.12.20,3616.32453723846
Anhui-Hydro_Pumped-ep-35040,2050.12.12.00,479.5071844397688
Anhui-Hydro_Pumped-ep-35040,2050.12.12.04,239.7535922198844
Anhui-Hydro_Pumped-ep-35040,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35040,2050.12.12.12,1321.884670617739
Anhui-Hydro_Pumped-ep-35040,2050.12.12.16,1082.131078397854
Anhui-Hydro_Pumped-ep-35040,2050.12.12.20,719.2607766596532
Fujian-Battery_Storage-11178,2040.06.26.00,34158.79049004581
Fujian-Battery_Storage-11178,2040.06.26.04,0.0
Fujian-Battery_Storage-11178,2040.06.26.08,134440.6241805632
Fujian-Battery_Storage-11178,2040.06.26.12,268287.4388298497
Fujian-Battery_Storage-11178,2040.06.26.16,268287.4388298497
Fujian-Battery_Storage-11178,2040.06.26.20,157949.0424689046
Fujian-Battery_Storage-11178,2040.12.19.00,-0.0
Fujian-Battery_Storage-11178,2040.12.19.04,-0.0
Fujian-Battery_Storage-11178,2040.12.19.08,-0.0
Fujian-Battery_Storage-11178,2040.12.19.12,134440.6241805632
Fujian-Battery_Storage-11178,2040.12.19.16,134440.6241805632
Fujian-Battery_Storage-11178,2040.12.19.20,0.0
Fujian-Battery_Storage-11178,2050.06.12.00,-0.0
Fujian-Battery_Storage-11178,2050.06.12.04,0.0
Fujian-Battery_Storage-11178,2050.06.12.08,133846.8146492865
Fujian-Battery_Storage-11178,2050.06.12.12,268287.4388298497
Fujian-Battery_Storage-11178,2050.06.12.16,268287.4388298497
Fujian-Battery_Storage-11178,2050.06.12.20,137597.2610475198
Fujian-Battery_Storage-11178,2050.12.12.00,-0.0
Fujian-Battery_Storage-11178,2050.12.12.04,0.0
Fujian-Battery_Storage-11178,2050.12.12.08,52031.3423334918
Fujian-Battery_Storage-11178,2050.12.12.12,186471.966514055
Fujian-Battery_Storage-11178,2050.12.12.16,186471.966514055
Fujian-Battery_Storage-11178,2050.12.12.20,11190.83981188654
Fujian-Hydro_Pumped-ep-35041,2040.06.26.00,1200.842067354892
Fujian-Hydro_Pumped-ep-35041,2040.06.26.04,0.0
Fujian-Hydro_Pumped-ep-35041,2040.06.26.08,1806.896
Fujian-Hydro_Pumped-ep-35041,2040.06.26.12,2827.611757251658
Fujian-Hydro_Pumped-ep-35041,2040.06.26.16,3602.526202064676
Fujian-Hydro_Pumped-ep-35041,2040.06.26.20,2401.684134709784
Fujian-Hydro_Pumped-ep-35041,2040.12.19.00,561.149404487044
Fujian-Hydro_Pumped-ep-35041,2040.12.19.04,280.574702243522
Fujian-Hydro_Pumped-ep-35041,2040.12.19.08,0.0
Fujian-Hydro_Pumped-ep-35041,2040.12.19.12,1546.952412369689
Fujian-Hydro_Pumped-ep-35041,2040.12.19.16,1266.377710126167
Fujian-Hydro_Pumped-ep-35041,2040.12.19.20,841.724106730566
Fujian-Hydro_Pumped-ep-35041,2050.06.12.00,2232.823622541874
Fujian-Hydro_Pumped-ep-35041,2050.06.12.04,0.0
Fujian-Hydro_Pumped-ep-35041,2050.06.12.08,1806.896
Fujian-Hydro_Pumped-ep-35041,2050.06.12.12,3613.791999999999
Fujian-Hydro_Pumped-ep-35041,2050.06.12.16,4634.507757251657
Fujian-Hydro_Pumped-ep-35041,2050.06.12.20,3433.665689896766
Fujian-Hydro_Pumped-ep-35041,2050.12.12.00,561.149404487044
Fujian-Hydro_Pumped-ep-35041,2050.12.12.04,280.574702243522
Fujian-Hydro_Pumped-ep-35041,2050.12.12.08,0.0
Fujian-Hydro_Pumped-ep-35041,2050.12.12.12,1546.952412369689
Fujian-Hydro_Pumped-ep-35041,2050.12.12.16,1266.377710126167
Fujian-Hydro_Pumped-ep-35041,2050.12.12.20,841.724106730566
Jiangsu-Battery_Storage-11179,2040.06.26.00,-0.0
Jiangsu-Battery_Storage-11179,2040.06.26.04,-0.0
Jiangsu-Battery_Storage-11179,2040.06.26.08,-0.0
Jiangsu-Battery_Storage-11179,2040.06.26.12,-0.0
Jiangsu-Battery_Storage-11179,2040.06.26.16,-0.0
Jiangsu-Battery_Storage-11179,2040.06.26.20,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.00,-0.0
Jiangsu-Battery_Storage-11179,2040.12.19.04,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.08,44814.82258630395
Jiangsu-Battery_Storage-11179,2040.12.19.12,190027.9965408025
Jiangsu-Battery_Storage-11179,2040.12.19.16,701.824501039082
Jiangsu-Battery_Storage-11179,2040.12.19.20,-0.0
Jiangsu-Battery_Storage-11179,2050.06.12.00,359704.7351826764
Jiangsu-Battery_Storage-11179,2050.06.12.04,0.0
Jiangsu-Battery_Storage-11179,2050.06.12.08,211370.6596739368
Jiangsu-Battery_Storage-11179,2050.06.12.12,383587.2938773085
Jiangsu-Battery_Storage-11179,2050.06.12.16,550568.4722183822
Jiangsu-Battery_Storage-11179,2050.06.12.20,550568.4722183822
Jiangsu-Battery_Storage-11179,2050.12.12.00,0.0
Jiangsu-Battery_Storage-11179,2050.12.12.04,0.0
Jiangsu-Battery_Storage-11179,2050.12.12.08,274674.9403332694
Jiangsu-Battery_Storage-11179,2050.12.12.12,550568.4722183822
Jiangsu-Battery_Storage-11179,2050.12.12.16,190863.7370357058
Jiangsu-Battery_Storage-11179,2050.12.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.00,515.4445137010307
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.08,796.5960666288663
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.12,1593.192133257733
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.16,2389.788199886599
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.20,1452.616356793815
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.00,438.1205836015832
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.04,219.0602918007916
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.12,1207.79187911788
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.16,876.2411672031664
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.20,657.1808754023748
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.00,2355.341721814431
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.08,1409.895136
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.12,2819.790272
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.16,4229.685407999999
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.20,3292.513564907215
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.00,438.1205836015832
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.04,219.0602918007916
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.12,1207.79187911788
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.16,876.2411672031664
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.20,657.1808754023748
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.00,47.18459480968794
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.08,72.92164652406318
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.12,145.8432930481264
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.16,218.7649395721895
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.20,132.9747671909387
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.00,40.1062416332464
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.04,20.0531208166232
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.12,110.5631526105712
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.16,80.2124832664928
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.20,60.1593624498696
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.00,215.6116552374984
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.04,0.0
