TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Fujian-Zhejiang,2038,99097.97108757566
Fujian-Zhejiang,2048,0.0
Anhui-Zhejiang,2038,4811.012583717637
Anhui-Zhejiang,2048,50229.29214597374
Jiangsu-Shanghai,2038,0.0
Jiangsu-Shanghai,2048,49535.38442784495
Jiangsu-Zhejiang,2038,77315.54019620825
Jiangsu-Zhejiang,2048,0.0
Zhejiang-Shanghai,2038,32887.15751617737
Zhejiang-Shanghai,2048,0.0
Anhui-Jiangsu,2038,195069.6553351503
Anhui-Jiangsu,2048,128618.8748765136
