SetProduct_OrderedSet_1,SetProduct_OrderedSet_2,BuildLocalTD
Anhui,2038,26790.48527910676
Anhui,2048,8784.033060605805
Fujian,2038,35196.03593231511
Fujian,2048,11206.67818395965
Jiangsu,2038,79278.58940870645
Jiangsu,2048,28094.89583563885
Shanghai,2038,30946.40457290877
Shanghai,2048,10110.66956277561
Zhejiang,2038,68526.76330738596
Zhejiang,2048,22567.63340210137
